Name,Position,University,Place,Code
Pablo Enrique Román Asenjo,Profesor Asistente,Universidad de Santiago de Chile,"Santiago, Chile",10793
María Paula Pappalardo,,"ESTACIÓN COSTERA DE INVESTIGACIONES MARINAS, PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE","Las Cruces, Chile",10794
Zahady Dafnee Velasquez Boulet,,UNIVERSIDAD AUSTRAL DE CHILE. CAMPUS ISLA TEJA,"VALDIVIA, Chile",10795
Néstor Alfonso Guerrero Toro,,UNIVERSIAD DE CHILE,"Santiago, Chile",10796
Rodrigo Antonio Assar Cuevas,Adjoint Professor,Universidad de Chile,"Santiago, Chile",10800
Luis Sebastián Caballero Bendixsen,,"FACULTAD DE FÍSICA, PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE","Santiago, Chile",10801
Paola Patricia Murgas Alcaíno,Profesor Investigador Asistente ,Universidad Austral de Chile ,"Valdivia , Chile",10802
Rajesh Kumar Singh,UGC- Dr DS Kothari Postdoctoral Fellow,Indian Institute of Technology (BHU),"varanasi, India",10804
Juan Antonio González De Requena Farré,,UNIVERSIDAD AUSTRAL DE CHILE (SEDE PUERTO MONTT),"Puerto Montt, Chile",10805
Saeid Atoofi,,UNIVERSIDAD DE CHILE,"Santiago, Chile",10806
Azun Soledad Candina Polomer,AssociateProfessor,"UNIVERSIDAD DE CHILE, DEPARTAMENTO DE CIENCIAS HISTÓRICAS","Santiago, Chile",10807
Juan Luis Ossa Santa Cruz,,UNIVERSIDAD ADOLFO IBÁÑEZ,"Santiago, Chile",10808
Pilar Herreros Cortázar,,"P. UNIVERSIDAD CATÓLICA DE CHILE, FACULTAD DE MATEMÁTICA","Santiago, Chile",10809
fernando Fuente-Alba Cariola,academico,UNIVERSIDAD CATÓLICA DE LA SANTÍSIMA CONCEPCIÓN,"concepción, Chile",10810
Pablo Rubio Apiolaza,,UNIVERSIDAD AUSTRAL DE CHILE,"Valdivia, Chile",10811
Ricardo Alonso Olea Ortega,,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,"SANTIAGO, Chile",10812
Johann Sebastian Benfeld Escobar,,PONTIFICIA UNIVERSIDAD CATÓLICA DE VALPARAÍSO,"Valparaíso, Chile",10813
GONZALO ALFONSO VALDES VIDAL,Académico Full Time,Universidad de La Frontera,"TEMUCO, Chile",10814
Garritt Leland Page,,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",10815
Claudia Sylvia Heiss Bendersky,Profesora Asistente,"INSTITUTO DE ASUNTOS PÚBLICOS, U. DE CHILE","Santiago, Chile",10816
Ricardo Ramires Ramires Fernández,Assistant pofessor,Universidad de Chile,"Santiago, Chile",10817
Masatoshi Sato,Full Professor,UNIVERSIDAD ANDRES BELLO,"Santiago, Chile",10818
Fabiola Alejandra Flores Pacheco,,INSTITUTO NACIONAL DE INVESTIGACIONES AGROPECUARIAS (INIA),"Chillán, Chile",10819
Luis Alberto Gutiérrez Inostroza,Assistant Professor,"Pontificia Universidad Católica de Chile, Faculty of Mathematics","Santiago, Chile",10820
Juan Luis Goldenberg Serrano,Profesor asociado,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE - FACULTAD DE DERECHO - QUINTO PISO,"Santiago, Chile",10821
Christian Pablo Viera Alvarez,,UNIVERSIDAD VIÑA DEL MAR,"Viña del Mar, Chile",10822
Einar Vargas Bello Pérez,,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",10823
Daniel Alejandro Díaz Alvarado,Profesor Asistente,UNIVERSIDAD DE CHILE,"Santiago, Chile",10824
Ricardo Andrés Gaete Quezada,,UNIVERSIDAD DE ANTOFAGASTA,"Antofagasta, Chile",10825
Mario Alejandro Riquelme Hernandez,Assistant Professor,Universidad de Chile,"Santiago, Chile",10826
Alejandro Javier Cataldo Cataldo,Profesor asistente,Universidad de Talca,"Talca, Chile",10827
Gonzalo Ignacio Rojas Canouet,,UNIVERSIDAD ACADEMIA DE HUMANISMO CRISTIANO,"Santiago, Chile",10829
sergio marcelo ruiz poblete,Co-Director,Laboratory for Brain-Machine Interfaces and Neuromodulation,"santiago, Chile",10830
Hugo Eduardo Weibel Fernandez,Academico,UNIVERSIDAD DE LOS LAGOS,"Osorno, Chile",10831
Eduardo Andres Cavieres Fernandez,Investigador,CENTRO DE ESTUDIOS AVANZADOS; UNIVERSIDAD DE PLAYA ANCHA,"Viña del Mar, Chile",10832
Emiliano Nicolás Gissi Barbieri,Académico e investigador,UNIVERSIDAD DE CHILE,"Santiago, Chile",10833
Marcela Vanessa Jarpa Azagra,Secretaria Académica,Pontificia Universidad Católica de Valparaíso,"viña del mar, Chile",10834
Cristián Sandoval Mandujano,Profesor Asociado,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",10835
Maximiliano Alexis Leyton Alvarez,Associate Professor, UNIVERSIDAD DE TALCA,"talca, Chile",10837
Viviana Cecilia Letelier Gonzalez,Directora Departamento,UNIVERSIDAD DE LA FRONTERA,"Temuco, Chile",10838
Mario Fernando Matus González,Profesor Asociado,Universidad de Chile,"Santiago, Chile",10839
Lilian Cecilia San Martin Neira,Profesora de Derecho Civil,Universidad Alberto Hurtado,"Santiago, Chile",10841
Patricio Eugenio Ramos Campos,academico,UNIVERSIDAD DE TALCA,"Talca, Chile",10842
Andrés Eduardo Donoso Bravo,Investigador senior,Centro Tecnológico del Agua (Cetaqua),"Santiago, Chile",10843
Frida Ingrid Piper Busico,researcher,Universidad de Talca,"Talca, Chile",10844
Cristian Mattar bader,Profesor Asociado,UNIVERSIDAD DE CHILE,"Santiago, Chile",10845
Menara Lube Guizardi,,"CENTRO DE ESTUDIOS AVANZADOS, UNIVERSIDAD DE PLAYA ANCHA","Viña del Mar, Chile",10846
Alba Martinez Ruiz,,FACULTAD DE INGENIERIA UNIVERSIDAD CATOLICA DE LA SANTISIMA CONCEPCION,"Concepcion, Chile",10847
Esteban Vohringer-Martinez,Profesor Asociado,FACULTAD DE CIENCIAS QUÍMICAS,"Concepción, Chile",10848
Jonatan Mauricio Valenzuela Saldias,,UNIVERSIDAD AUSTRAL DE CHILE,"Valdivia, Chile",10849
Llarela Alejandra Berríos Valenzuela,,UNIVESIDAD DE LOS ANDES,"Santiago, Chile",10850
Nicolás Fuster Sánchez,Profesor Titular,Universidad de Valparaíso,"Reñaca, Chile",10851
Francesco Ildemaro Carretta Muñoz,,PONTIFICIA UNIVERSIDAD CATÓLICA DE VALPARAÍSO,"Valparaíso, Chile",10853
Felix Fuders Felix Fuders,,UNIVERSIDAD AUSTRAL DE CHILE,"Valdivia, Chile",10854
Patricio Alejandro Sandaña Gómez,Académico,Universidad Austral de Chile,"Valdivia, Chile",10855
Fernando Javier Muñoz León,Assistant Professor,Universidad Austral de Chile,"Valdivia, Chile",10856
Paula Francisca Vidal Molina,Prof. Asociada,"Facultad de Ciencias Sociales, Universidad de Chile","SANTIAGO, Chile",10857
Carolina Riveros,PROFESORA ASOCIADA ,UNIVERSIDAD DE TALCA ,"Santiago, Chile",10858
Sebastián Maldonado Alarcón,Profesor Titular,Universidad de Chile,"Santiago, Chile",10859
Ricardo Felipe Borquez Cousiño,,"PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE, FACULTAD DE MATEMATICAS","Santiago, Chile",10860
Esptiben Rojas Bernilla,,UNIVERSIDAD DE MAGALLANES,"Punta Arenas, Chile",10861
Ramón Eduardo Sotomayor Zárate,Full Professor,"UNIVERSIDAD DE VALPARAÍSO, FACULTAD DE CIENCIAS, DEPARTAMENTO DE FISIOLOGÍA","Valparaíso, Chile",10862
Waldo Gonzalo Arriagada Silva,,UNIVERSIDAD AUSTRAL DE CHILE,"Valdivia, Chile",10864
Julio Enrique Parra Flores,ACADEMIC,Universidad del Bio Bio,"Chillán, Chile",10865
Carlos Guevara Oliva,Profesor Asistente,Hospital Clínico de la Universidad de Chile,"Santiago, Chile",10866
Juan Urquiza,,INSTITUTO DE ECONOMÍA - PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",10867
Lilian Inés Castro Duran,Secretaria Académica ,UNIVERSIDAD DE CONCEPCIÓN,"Concepción, Chile",10868
Alexis Antonio Gonzalez Parra,Adjunct Professor,Pontificia Universidad Católica de Valparaiso,"Valparaíso, Chile",10869
Julio Alvear Téllez,,UNIVERSIDAD DEL DESARROLLO,"Santiago, Chile",10870
Rodrigo Eduardo Ponce Cubillos,Assistant Professor,UNIVERSIDAD DE TALCA,"Talca, Chile",10872
Denis Fuentealba Patiño,PROFESOR ASOCIADO,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",10873
Elena Alejandra Vidal Olate,Directora Centro de Genomica y Bioinformatica,Universidad Mayor de Chile,"Santiago, Chile",10874
Eduardo Teodoro Jequier Lehuedé,Profesor Titular,UNIVERSIDAD DE LOS ANDES,"Santiago, Chile",10875
Luis Andres Bahamondes Gonzalez,,UNIVERSIDAD ALBERTO HURTADO,"SANTIAGO, Chile",10876
Pedro Juan Canales Tapia,,"UNIVERSIDAD DE SANTIAGO DE CHILE, INSTITUTO DE ESTUDIOS AVANZADOS","Santiago, Chile",10877
Alberto Pedro López-hermida Russo,,UNIVERSIDAD DE LOS ANDES,"Santiago, Chile",10878
Alvaro Reyes Duarte,,UNIVERSIDAD SANTO TOMAS,"SANTIAGO, Chile",10879
Claudia Andrea Reyes Quilodrán,Profesor Asociado,Pontificia Universidad Católica de Chile,"Santiago, Chile",10880
Ignacio Aníbal Serrano del Pozo,Director,UNIVERSIDAD SANTO TOMÁS,"Santiago, Chile",10881
Oscar Alejandro Cerda Arancibia,Associate Professor,Universidad de Chile,"Santiago, Chile",10882
Felipe Ignacio Gainza Cortes,Lider de I+D+i en Biología Molecular,Viña Concha y Toro,"Pencahue, Chile",10883
YASNA DEL CARMEN CONTRERAS GATICA,ACADÉMICA ASOCIADA,UNIVERSIDAD DE CHILE,"SANTIAGO, Chile",10884
Alejandro Ignacio Allendes Flores,Assistant Professor,UNIVERSIDAD TÉCNICA FEDERICO SANTA MARÍA,"Valparaíso, Chile",10885
Herminia Gonzálvez Torralbo,Académica e Investigadora ,Universidad Central de Chile,"Santiago de Chile, Chile",10886
Eric Forcael,Profesor Asociado,UNIVERSIDAD DEL BIO-BIO,"CONCEPCION, Chile",10887
FRANZ ANDRÉS THOMET ISLA,,UNIVERSIDAD TÉCNICA FEDERICO SANTA MARÍA,"Valparaíso, Chile",10889
Felipe Eduardo Lillo,Academico,UCM,"Talca, Chile",10890
Javier Palacios Fenech,,UNIVERSIDAD ADOLFO IBAÑEZ,"Santiago, Chile",10891
Emmanuel Martínez Montaño,,CENTRO DE INVESTIGACIÓN Y DESARROLLO CIEN AUSTRAL,"Puerto Montt, Chile",10892
Javier Ignacio Pinto Garay,Profesor ,UNIVERSIDAD DE LOS ANDES,"Santiago, Chile",10894
Javier Andrés Muñoz Vidal,Profesor Asociado,"UNIVERSIDAD DE TALCA, FACULTAD DE INGENIERIA, DEPTO. TECNOLOGÍAS INDUSTRIALES","Curicó, Chile",10895
Paula Ivonne Rodas Garrido,Microbiology Consultant,Pan American Health Organization (PAHO - OPS/OMS Chile),"Vitacura, Chile",10896
Juan Eduardo Perez Retamales,Profesor Asociado,UNIVERSIDAD DE LOS ANDES DE CHILE,"Santiago, Chile",10897
Susana Gómez González,,"DEPARTAMENTO DE CIENCIAS BÁSICAS, FACULTAD DE CIENCIAS, UNIVERSIDAD DEL BIO-BIO","Chillán, Chile",10898
Maria Jose Constanza Navarrete Talloni,,UNIVERSIDAD AUSTRAL DE CHILE,"Valdivia, Chile",10899
Marta Belmar Mellado,,UNIVERSIDAD SANTO TOMÁS SEDE CONCEPCIÓN,"CONCEPCIÓN, Chile",10900
Marcia Lorena Martínez Carvajal,Profesora Titular,Universidad de Valparaíso,"Valparaíso, Chile",10901
Zoraya Elena López Cabaña,,UNIVERSIDAD DE TALCA,"Talca, Chile",10902
Rossana Fiorentino Marinkovic,,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",10903
Matías Andrés Bargsted Valdés,Associate Professor,Pontificia Universidad Católica de Chile,"Santiago, Chile",10904
Catalina Alejandra Forttes Zalaquett,,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Viña del Mar, Chile",10905
Claudio Guerrero Valenzuela,Profesor Adjunto,Pontificia Universidad Católica de Valparaíso,"Viña del Mar, Chile",10906
Alicia Lorena Núñez Mondaca,Profesora Asistente,UNIVERSIDAD DE CHILE,"Santiago, Chile",10907
Francis Dube,Profesor Asociado,"FACULTAD DE CIENCIAS FORESTALES, UNIVERSIDAD DE CONCEPCION","Concepción, Chile",10908
Esteban Andrés Sagredo Tapia,Profesor Asociado,Pontificia Universidad Católica de Chile,"Santiago, Chile",10909
