Name,Position,University,Place,Code
Susana Morales Silva,"Investigadora, Psicóloga Clínica y profesora horas",PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",10970
Marcela Adriana Reyes Jedlicki,Profesor Asistente,INSTITUTO DE NUTRICIÓN Y TECNOLOGÍA DE LOS ALIMENTOS (INTA),"Santiago, Chile",10971
Jaime Wilson Morales Saavedra,profesor,PONTIFICIA UNIVERSIDAD CATÓLICA DE VALPARAÍSO,"Valparaíso, Chile",10972
Gloria Rossana González Silva,,UNIVERSIDAD CATOLICA DEL MAULE,"Talca, Chile",10973
Beatriz Mariela Marin Campusano,Académica,UNIVERSIDAD DIEGO PORTALES,"Santiago, Chile",10974
Paula Elvira Mellado Martin,Profesor Asociado/Academico,Universidad Adolfo Ibanez,"Santiago, Chile",10976
Marjorie Morales Casetti,Directora Escuela de Ingeniería Industrial,UNIVERSIDAD DE LA FRONTERA,"Temuco, Chile",10977
Emanuele Corn,,UNIVERSIDAD DE VALPARAISO - ESCUELA DE DERECHO,"valparaiso, Chile",10978
Marisa Edith Meza Pardo,Académica,Pontificia Universidad Católica de Chile,"Santiago, Chile",10980
Daniela Pilar Rivera Bravo,Profesor Asistente Adjunto,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",10982
Marcela De Los Angeles Medel Maraboli,Profesor Asociado,"UNIVERSIDAD DE CHILE,FAC.CS.AGRONOMICAS","Santiago, Chile",10983
Gonzalo Iván Recabarren Gajardo,Académico,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",10985
Nicolas Osvaldo Rojas Simpfendorfer,,UNIVERSIDAD DE VALPARAISO,"Valparaíso, Chile",10986
ricardo alberto concha machuca,Profesor Asociado,UNIVERSIDAD DE CONCEPCIÓN,"Concepción, Chile",10987
Victor Andres Vera Valdes,Docente Investigador,Inacap,"Santiago, Chile",10988
Ramón Andrés Pérez Castro,"Secretario Centro Oncológico UCM y Director de Departamento de Ciencias Preclínicas, Facultad de Medicina",UNIVERSIDAD CATÓLICA DEL MAULE,"Talca, Chile",10989
Fabiola De Lourdes Schafer Villalobos,,UNIVERSIDAD DE LA FRONTERA,"Temuco, Chile",10990
Laura Gallardo Frías,Profesora Asistente,UNIVERSIDAD DE CHILE. FACULTAD DE ARQUITECTURA Y URBANISMO,"Santiago, Chile",10991
Martha Carmiña Claros Vargas,Postdoc,Central European Institute of Technology (CEITEC BUT),"Brno, Rep. Checa",10992
Wendy Verónica Franco Melazzini,Assistant Professor,Pontificia Universidad Catolica de Chile,"Santiago, Chile",10993
Marcel Goic,Profesor Asistente,Universidad de Chile,"Santiago, Chile",10994
Marcelo Mendoza,Profesor Asociado,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,"Santiago, Chile",10995
Bernardita Escobar Andrae,Profesora Asistente,Universidad de Talca,"San Joaquin, Chile",10996
Alejandra Montecinos Tota,,UNIVERSIDAD ANDRÉS BELLO,"Santiago, Chile",10997
WILFREDO FERNANDO YUSHIMITO DEL VALLE,ASSOCIATE PROFESSOR,UNIVERSIDAD ADOLFO IBAÑEZ,"Viña del Mar, Chile",10998
Alberto Arturo Harambour Ross,Profesor asociado,Universidad Austral de Chile,"Valdivia, Chile",10999
francisco hernán sepúlveda palma,Profesor Jornada Completa,USACH,"santiago, Chile",11000
Gonzalo Francisco Encina Silva,Investigador,Family Gen ,"Santiago, Chile",11001
Rosa Daniela Medina Duran,Profesor Asistente,"UNIVERSIDAD DE CONCEPCIÓN, CHILE","Concepción, Chile",11002
Angelica Sofia Reyes Jara,Profesor Asociado,INTA UNIVERSIDAD DE CHILE,"Santiago, Chile",11003
Alvaro Daniel Coronel Soto,Associate professor,Pontificia Universidad Católica de Chile,"Santiago, Chile",11004
Pablo Andrés González Mondaca,,UNIVERSIDAD CENTRAL DE CHILE,"Santiago, Chile",11005
Carlos Albornoz Pardo,,UNIVERSIDAD DEL DESARROLLO,"Santiago, Chile",11006
Claudio Villarroel Quintana,Sub-Director,INSTITUTO DE INVESTIGACIONES MATERNO INFANTIL (IDIMI),"Santiago, Chile",11007
Marco Antonio Riquelme Alamos,,UNIVERSIDAD CATÓLICA DEL MAULE,"Talca, Chile",11008
Rosa Liliana Figueroa Iturrieta,Profesor Asistente,UNIVERSIDAD DE CONCEPCIÓN,"concepcion, Chile",11009
Marco Tulio Bustos Gutiérrez,,UNIVERSIDAD DE LA FRONTERA - DEPARTAMENTO DE INGENIERÍA DE SISTEMAS,"Temuco, Chile",11010
Francisco Javier Valenzuela Melgarejo,Academico,UNIVERSIDAD DEL BÍO BÍO,"Chillan, Chile",11011
Tamara Alejandra Tadich Gallo,Profesora Asociada,Universidad Austral de Chile,"Valdivia, Chile",11012
Salvador Enrique Cabrera Figueroa,DOCENTE/INVESTIGADOR,UNIVERSIDAD DE CONCEPCIÓN,"CONCEPCIÓN, Chile",11013
Francis Charlotte Charlotte Espinoza Figueroa,Directora de Escuela,UNIVERSIDAD CATÓLICA DEL NORTE,"Antofagasta, Chile",11014
Katherina Verónica María Kuschel Rietzsch,Postdoctoral Researcher,Wilfrid Laurier University,"Waterloo, Canada",11016
Luis Alejandro Fuentes Arce,Director,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11017
Rodolfo Sebastián Allendes Osorio,Lecturer,Universidad de Talca,"Curicó, Chile",11018
Felipe Andrés Oyarzún Ampuero,Profesor Asociado,UNIVERSIDAD DE CHILE,"Santiago, Chile",11019
Paola Andrea Velásquez Betancourt,académica,"FACULTAD DE ARQUITECTURA Y URBANISMO, UNIVERSIDAD DE CHILE","Santiago, Chile",11020
Sergio Enrique Espinoza Meza,Académico,Universidad Católica del Maule,"Talca, Chile",11021
Cristián Andrés Delpiano Lira,,UNIVERSIDAD CATÓLICA DEL NORTE,"Antofagasta, Chile",11022
Marcela Beatriz Cabello Mora,,UNIVERSIDAD DEL BÍOBÍO,"Concepción, Chile",11023
Lidia Miriam Zuniga Condor,Profesor Asistente,UNIVERSIDAD DE ANTOFAGASTA,"Antofagasta, Chile",11024
Sebastián Andrés Valenzuela Leighton,Profesor Asociado,Pontificia Universidad Católica de Chile,"Santiago, Chile",11026
José Luis Muñoz Pérez,"investigador, academico","CENTRO I-MAR, UNIVERSIDAD DE LOS LAGOS","Puerto Montt, Chile",11027
Silvia Jeannette Sarzoza Herrera,DIRECTORA GENERAL ESCUELA DE POSTGRADO,UNIVERSIDAD DE PLAYA ANCHA,"Valparaíso, Chile",11029
Jason Reed Pierce,,UNIVERSIDAD ADOLFO IBÁÑEZ,"Santiago, Chile",11030
Ricardo Daniel Cubas Ramacciotti,,UNIVERSIDAD DE LOS ANDES,"Santiago, Chile",11031
Pablo Castañeda,,UNIVERSIDAD ADOLFO IBAÑEZ - ESCUELA DE NEGOCIOS,"Santiago, Chile",11032
María Luisa Martínez Muñoz,Profesor asociado,UNIVERSIDAD DE CONCEPCIÓN,"Concepción, Chile",11033
Carola Scarleth Millan Giovanetti,Profesor ,UNIVERSIDAD ADOLFO IBAÑEZ FACULTAD DE ARTES LIBERALES,"Viña del Mar, Chile",11034
Angela Natalia Toso Milos,,UNIVERSIDAD CATÓLICA DEL NORTE,"Antofagasta, Chile",11036
Eric Suárez Morell,Académico,UNIVERSIDAD TÉCNICA FEDERICO SANTA MARÍA,"Valparaiso, Chile",11037
María Soledad Matus Montero,,UNIVERSIDAD DE CHILE,"Santiago, Chile",11038
Caroll Jenny Beltrán Muñoz,"Profesor Asistente, Investigador Principal","Universidad de Chile, Fac Medicina","SANTIAGO, Chile",11039
Catalina María Donoso Pinto,,UNIVERSIDAD DE CHILE INSTITUTO DE LA COMUNICACIÓN E IMAGEN,"Santiago, Chile",11040
German Alfredo Aguilar Martorell,Investigador,Universidad de Chile,"Santiago, Chile",11041
María Graciela Badilla Quintana,"PROFESOR ASOCIADO, DIRECTOR DEL PROGRAMA DE DOCTORADO EN EDUCACIÓN, DIRECTORA REVISTA REXE",UNIVERSIDAD CATÓLICA DE LA SANTÍSIMA CONCEPCIÓN,"Concepción, Chile",11042
Gunhild Petra Hansen-Rojas Hernandez,Profesor asistente,"UNIVERSIDAD DE CONCEPCIÓN, CENTRO DE CIENCIAS AMBIENTALES EULA","Concepción, Chile",11043
José Andrés Murillo Urrutia,,FUNDACIÓN PARA LA CONFIANZA,"Santiago, Chile",11045
Valentina Alejandra Flores Aqueveque,PROFESORA ASISTENTE,UNIVERSIDAD DE CHILE,"Santiago, Chile",11046
Nicole Uslar Valle,"Profesor Asistente, Directora Departamento",UNIVERSIDAD DE CONCEPCION,"Chillan, Chile",11047
Antonia Tatiana Torres AgÜero,,UNIVERSIDAD SAN SEBASTIÁN - VALDIVIA,"Valdivia, Chile",11048
Julia Inés Arias Stampalia,,DEPARTAMENTO DE FÍSICA - UNIVERSIDAD DE LA SERENA,"La Serena, Chile",11049
Francisco Javier Fernandoy Pedreros,Associated Professor and laboratory director,UNIVERSIDAD NACIONAL ANDRÉS BELLO,"Viña del Mar, Chile",11050
Maria Antonieta Urquieta Alvarez,,"ESCUELA DE TRABAJO SOCIAL, UNIVERSIDAD DE VALPARAÍSO","Valparaíso, Chile",11051
Nicole Trefault Carrillo,Profesor Asociado,UNIVERSIDAD MAYOR,"Santiago, Chile",11053
Felipe Gabriel Gordillo Fuenzalida,,UNIVERSIDAD CATÒLICA DEL MAULE,"Talca, Chile",11054
Diego Gaston Arroyuelo Billiardi,Full-time Professor,UNIVERSIDAD TÉCNICA FEDERICO SANTA MARÍA,"Santiago, Chile",11055
Claudia Carolina Torres Gilles,,FACULTAD DE ARQUITECTURA Y URBANISMO DE LA  UNIVERSIDAD DE CHILE,"Santiago, Chile",11056
Alejandro Humberto Pedreros Matta,,"FACULTAD DE EDUCACIÓN, PUC","Santiago, Chile",11057
Fernando José Vergara Henríquez,,UNIVERSIDAD CATÓLICA DEL MAULE (UCM),"Talca, Chile",11058
Ramón Armando Vivanco Muñoz,Académico,UNIVERSIDAD DE LOS LAGOS,"OSORNO, Chile",11059
Humberto Rodrigo Ramos Quoirin,Profesor asistente,UNIVERSIDAD DE SANTIAGO DE CHILE,"Santiago, Chile",11060
Gian Franco Rosso Elorriaga,,UNIVERSIDAD DE LOS ANDES,"Santiago, Chile",11061
Beatriz Patricia Cámara Herrera,Associate Investigator,UNIVERSIDAD TÉCNICA FEDERICO SANTA MARÍA,"Valparaíso, Chile",11062
Carlos Arturo Navarrete Rojas,,UNIVERSIDAD DE LA SERENA - DEPARTAMENTO DE MATEMÁTICAS,"La Serena, Chile",11063
Victor Helio Zarate Barahona,Director,UNIVERSIDAD SAN SEBASTIAN,"Santiago, Chile",11064
Hubert Rohner Pickmann Soto,,UNIVERSIDAD DE TARAPACÁ,"Arica, Chile",11065
Mauricio Eduardo Rubilar Luengo,Profesor asociado,UNIVERSIDAD CATÓLICA DE LA SANTÍSIMA CONCEPCIÓN,"Concepción, Chile",11066
Rosa Amelia Scherson Vicencio,,"UNIVERSIDAD DE CHILE, FACULTAD DE CIENCIAS FORESTALES Y DE LA CONSERVACIÓN DE LA NATURALEZA, DEPARTAMENTO DE SILVICULTURA Y CONSERVACIÓN DE LA NATURALEZA","Santiago, Chile",11068
Jeanne Lafortune,Associate Professor,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,"Macul, Chile",11069
CECILIA LORENA QUINTRILEO LLANCAO,Profesor Auxiliar,UNIVERSIDAD AUSTRAL DE CHILE,"VALDIVIA, Chile",11070
Daniel Mansuy Huerta,,UNIVERSIDAD DE LOS ANDES,"Santiago, Chile",11071
Gonzalo Felipe Avaria Saavedra,Investigador,COMISIÓN CHILENA DE ENERGÍA NUCLEAR,"Santiago, Chile",11072
Mónica  Patricia Montory González,Docence,Universidad de Concepcion,"Chillan, Chile",11073
Alfredo Gaete Silva,Academic Director,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,"Villarrica, Chile",11074
Gonzalo Alberto Farias Castro,Profesor,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,"Valparaiso, Chile",11075
Simonet Evelyn Torres Gálvez,,UNIVERSIDAD DE LA FRONTERA,"Temuco, Chile",11076
Santiago Julián Mingo Del Río,Associate Professor,Universidad Adolfo Ibanez,"Santiago, Chile",11077
Alejandra Andueza Correa,Profesora asistente,Universidad Alberto Hurtado,"Santiago, Chile",11078
Héctor Rodrigo Berroeta Torres,Profesor Titular,ESCUELA DE PSICOLOGIA UNIVERSIDAD DE VALPARAÍSO,"Valparaíso, Chile",11079
Sabela Fernández Silva,,PONTIFICIA UNIVERSIDAD CATÓLICA DE VALPARAÍSO,"Viña del Mar, Chile",11080
svenska arensburg castelli,academica,Universidad de Chile,"santiago, Chile",11081
Manuel Ernesto Rodriguez Tudor,,"UNIVERSIDAD DE CHILE, FACULTAD DE FILOSOFÍA Y HUMANIDADES","Santiago, Chile",11082
Germán Mauricio Ibacache Pulgar,,UNIVERSIDAD DE VALPARAÍSO,"Valparaíso, Chile",11083
Ana Rayén Condeza Dall'Orso,Profesora Asociada- Editora en jefe Cuadernos.info,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE  FACULTAD DE COMUNICACIONES,"Santiago, Chile",11084
Mónica Stella Cárdenas Claros,,PONTIFICIA UNIVERSIDAD CATÓLICA DE VALPARAÍSO,"Viña del Mar, Chile",11085
Millaray Deborah Salas Valdebenito,,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,"Viña del Mar, Chile",11086
Hedie Bustamante,Académico,Universidad Austral de Chile,"Valdivia, Chile",11087
Guy Boisier,Académico,UNIVERSIDAD AUSTRAL DE CHILE - FACULTAD DE CS. ECONÓMICAS Y ADMINISTRATIVAS,"Valdivia, Chile",11088
Yonathan David Redel Hemberger,,UNIVERSIDAD DE LA FRONTERA,"Temuco, Chile",11089
Juan Luis Correa Allamand,,MINISTERIO DE HACIENDA,"Santiago, Chile",11090
Diego Hernán Rossello Glas,Profesor,Universidad Adolfo Ibáñez,"Santiago, Chile",11091
Daniel Andrés Jimenez Chavez,,UNIVERSIDAD DE CONCEPCIÓN,"Concepción, Chile",11092
Lorena Ivette Santa Maria Vásquez,Directora Laboratorio de Citogenetica Molecular,INTA,"Santiago, Chile",11093
Viviana Alejandra Rodríguez Díaz,,UNIVERSIDAD DE VALPARAÍSO,"Valparaíso, Chile",11094
Doris Polett Ruiz Vásquez,Assistant Professor,UNIVERSIDAD DE CONCEPCIÓN,"Concepción, Chile",11096
Catalina Sofía Hitschfeld Bellolio,,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11097
Qingxia Kong,,UNIVERSIDAD ADOLFO IBAÑEZ,"Santiago, Chile",11098
Yecid Ponciano Jimenez Bellott,Jefe de Carrera,Universidad de Antofagasta,"Antofagasta, Chile",11099
Verónica Cabezas Gazaga,Profesora Asistente,"PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE, FACULTAD DE EDUCACIÓN","Macul, Santiago , Chile",11100
Francisco Andrés Moraga Gonzalez,,UNIVERSIDAD SAN SEBASTIÁN,"Santiago, Chile",11101
Antonio Andrés Rivera Hutinel,Profesor Asociado,UNIVERSIDAD METROPOLITANA DE CIENCIAS DE LA EDUCACION,"Santiago, Chile",11102
Gabriel Hernán Donoso Ñanculao,Investigador,Instituto de Investigaciones Agropecuarias,"Chillán, Chile",11104
Luciano Alejandro Caputo Galarce,Assistant professor,UNIVERSIDAD AUSTRAL DE CHILE,"Valdivia, Chile",11105
Michel Molina Del Sol,,UNIVERSIDAD CATÓLICA DEL NORTE,"Antofagasta, Chile",11106
Gregory Elacqua,,UNIVERSIDAD DIEGO PORTALES,"Santiago, Chile",11107
Chiara Sáez Baeza,Profesor asistente,INSTITUTO DE LA COMUNICACIÓN E IMAGEN (ICEI) - UNIVERSIDAD DE CHILE,"Santiago, Chile",11108
Mauricio Edinson Yañez Sanchez,,UNIVERSIDAD DE SANTIAGO DE CHILE,"SANTIAGO, Chile",11109
Claudio Andrés Mancilla Mancilla,Académico,UNIVERSIDAD DE LOS LAGOS,"Osorno, Chile",11110
Jose Antonio Reyes Suarez,Académico Jornada Completa,UNIVERSIDAD DE TALCA,"Talca, Chile",11111
Luz María Ferrada Bórquez,Académica,UNIVERSIDAD DE LOS LAGOS,"Osorno, Chile",11112
Liliana Eugenia Berrocal Silva,,UNIVERSIDAD FINIS TERRAE,"Santiago, Chile",11113
Patricia Garcia Muñoz,,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11114
Luis Federico Gueneau De Mussy Roa,,UNIVERSIDAD FINIS TERRAE,"Santiago, Chile",11116
Claudia Andrea Rahmann Zuñiga,,"DEPARTAMENTO ING. ELÉCTRICA, FACULTAD DE CIENCIAS FÍSICAS Y MATEMÁTICAS, UNIVERSIDAD DE CHILE","Santiago, Chile",11117
Marcelo Antonio Villagrán Abarzúa,,UNIVERSIDAD AUTÓNOMA DE CHILE,"Santiago, Chile",11118
Ricardo Seguel Perez,,UNIVERSIDAD DE CHILE,"Santiago, Chile",11119
Carolina Meruane Naranjo,,CENTRO DE ECOLOGÍA APLICADA LTDA.,"Santiago, Chile",11120
Alejandra Andrea Segura Navarrete,,UNIVERSIDAD DEL BÍO-BÍO,"CONCEPCION, Chile",11121
Rodrigo Cánovas Emhart,,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11122
Viviana Paulina Fernandez Maturana,Profesora Titular,Universidad Adolfo Ibáñez,"Santiago, Chile",11123
Eduardo Eliseo Contreras Reyes,Professor,UNIVERSIDAD DE CHILE,"Santiago, Chile",11124
Héctor Pincheira Conejeros,,UNIVERSIDAD TECNOLÓGICA METROPOLITANA,"Santiago, Chile",11125
Ignacio Héctor Lira Canguilhem,,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11126
Luis Iván Inostroza Córdova,PROFESOR ,Universidad de La Frontera,"Temuco, Chile",11127
Claudio Lucarelli Herrera,,UNIVERSIDAD DE LOS ANDES,"Santiago, Chile",11128
Yedy Israel Jacard,Profesor Titular,"UNIVERSIDAD DE CHILE, FACULTAD DE CS QUIMICAS Y FARMACÉUTICAS, LAB. FARMACOTERAPIA GÉNICA","Santiago, Chile",11129
Mario Francis Rivera Meza,Profesor Asistente,Universidad de Chile,"Santiago, Chile",11130
LUIS ERNESTO VALENZUELA VERMEHREN,Profesor Asistente,UNIVERSIDAD CATÓLICA DE TEMUCO,"Temuco, Chile",11131
Roberto Alberto Durán Sepúlveda,,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE (PUC-ICP),"Santiago, Chile",11132
Sandra Hirsch Birn,planta,"INTA, UNIVERSIDAD DE CHILE","Santiago, Chile",11133
Ana María Ronco Macchiavello,,UNIVERSIDAD DE CHILE,"Santiago, Chile",11134
Mikhail Pliouchtchai,,"DEPARTAMENTO DE FÍSICA, UNIVERSIDAD DE SANTIAGO DE CHILE","Santiago, Chile",11135
Fernando Hernán Berrios Medel,Académico y Secretario de la Facultad,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11136
Jorge Felipe Gamboa Rios,professor,UNIVERSIDAD DE SANTIAGO DE CHILE,"Santiago, Chile",11137
MAURICIO JOSE MORALES QUIROGA,Profesor Titular,Universidad de Talca,"SANTIAGO, Chile",11138
Julio Sanhueza Catalan,,"INTA, UNIVERSIDAD DE CHILE","Santiago, Chile",11139
Isabel De Los Angeles Cuevas Quezada,,PONTIFICIA UNIVERSIDAD CATÓLICA DE VALPARAÍSO,"Valparaíso, Chile",11140
Carlos Bustamante Valdés,,PONTIFICIA UNIVERSIDAD CATÓLICA DE VALPARAÍSO,"Valparaíso, Chile",11141
JOSE GREGORIO DELATORRE HERRERA,Profesor  Titular,UNIVERSIDAD ARTURO PRAT,"Iquique, Chile",11142
Carlos Patricio Zúñiga Jara,,INACAP,"TEMUCO, Chile",11143
Gloria Cecilia Arancibia Hernández,Associate Professor,Pontificia Universidad Catolica de Chile,"Santiago, Chile",11145
Alejandra Francisca Bottinelli Wolleter,,UNIVERSIDAD DE CHILE,"Santiago, Chile",11146
Gina América Burdiles Fernández,,UNIVERSIDAD CATÓLICA DE LA SANTÍSIMA CONCEPCIÓN,"Concepción, Chile",11147
Victor Manuel Martinez Ravanal,académico ,Universidad de Chile,"Santiago, Chile",11149
Pablo Farías Nazel,,UNIVERSIDAD DE CHILE,"SANTIAGO, Chile",11150
Daisy Margarit Segura,Investigadora y académica,Universidad de Santiago,"Santiago, Chile",11151
Ana Patricia Kinkead Boutin,Asistente de Investigación-Gestora de Fondos Internacionales de Investigación,Universidad Autónoma de Chile,"Santiago, Chile",11153
Omar Hugo Porras Espinoza,Assistant professor,UNIVERSIDAD DE CHILE,"Santiago, Chile",11154
Efraín Telias Gutierrez,,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11155
Daniel Jean-marie Walgraef 0,,"INSTITUTO DE FÍSICA, PUCV","Valparaíso, Chile",11156
Gonzalo  Andrés Cruz Neculpan,,UNIVERSIDAD DE VALPARAISO,"VALPARAISO, Chile",11157
Alejandro Samuel Godoy Sánchez,Associate Professor,Universidad San Sebastián,"Santiago, Chile",11158
Ignacio San Francisco Reyes,"URÓLOGO, PROFESOR ASOCIADO","PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE, FACULTAD DE MEDICINA, DEPARTAMENTO DE ANATOMÍA PATOLÓGICA","Santiago, Chile",11159
Enrique Canessa Terrazas,,"UNIVERSIDAD ADOLFO IBÁÑEZ, FACULTAD DE INGENIERÍA Y CIENCIAS","Viña del Mar, Chile",11160
Rodrigo Antonio Carvajal Gavilán,,HOSPITAL CLÍNICO DE LA UNIVERSIDAD DE CHILE. DEPARTAMENTO OBSTETRICIA Y GINECOLOGÍA.,"Santiago, Chile",11161
Victor Rodrigo García Palominos,,CLINICA HOSPITAL DEL PROFESOR,"SANTIAGO, Chile",11162
Fernando Gustavo Gabler Neale,,COMPLEJO DE SALUD SAN BORJA ARRIARÁN,"Santiago, Chile",11163
Cristian Luis Villavicencio Reyes,Profesor Asistente,Universidad del Bio-Bio,"Chillan, Chile",11164
Dr. Fernando Robles Salgado,,UNIVERSIDAD DE CONCEPCIÓN,"Concepción, Chile",11165
Alejandro Eric Yévenes Zúñiga,Profesor Asistente,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11166
Gabriel Guillermo Merino Coria,PROFESOR ASOCIADO,UNIVERSIDAD DE CONCEPCIÓN,"Chillan, Chile",11167
Gonzalo Lautaro Ojeda Ledesma,Profesor adjunto,UNIVERSIDAD DE VALPARAÍSO,"Valparaíso, Chile",11168
Andrea Patricia Pino Vásquez,Investigadora asociada,CINVIT-UV,"Valparaíso, Chile",11169
Miguel Angel Torres Bravo,,HOGAR DE CRISTO,"Santiago, Chile",11170
Myriam Ximena Galleguillos Araya,,UNIVERSIDAD ALBERTO HURTADO,"Santiago, Chile",11171
Jorge  Rodrigo Yaitul Stormansan,Director,UNIVERSIDAD DE LOS LAGOS,"Osorno, Chile",11172
Jaime Torres Dujisin,,CORPORACION SINTESYS,"Santiago, Chile",11173
Manuel Alonso Olivares Grohnert,,"INSTITUTO DE NUTRICIÓN Y TECNOLOGÍA DE LOS ALIMENTOS, UNIVERSIDAD DE CHILE","Santiago, Chile",11174
José Ángel Fernández Cruz,Profesor asociado,UNIVERSIDAD AUSTRAL DE CHILE,"Valdivia, Chile",11175
Felipe Ignacio Paredes Paredes,Profesor auxiliar,UNIVERSIDAD AUSTRAL DE CHILE,"Valdivia, Chile",11176
Mauricio Valderrama Guerrero,,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE: FACULTAD DE QUÍMICA. DEPTO. QUÍMICA INORGÁNICA,"Santiago, Chile",11177
Raquel Bridi,Profesor Asistente,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11178
Angelica Maria Fierro Huerta,Associate,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11179
Andrea del Carmen Ugalde Guajardo,,UNIVERSIDAD DE CHILE,"Santiago, Chile",11180
Yo-ying Chen Carrillo,,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11181
Ethel Guerrero Rosen,,SERVICIO MÉDICO LAGAL,"Santiago, Chile",11183
Sergio Raul Munoz Navarro,Profesor Titular,Universidad de La Frontera,"Temuco, Chile",11184
Sandra Jaramillo Mora,,UNIVERSIDAD DE LA FRONTERA,"TEMUCO, Chile",11185
Darío Alexis Rojas Gallardo,,"UNIVERSIDAD DE CHILE, FACULTAD DE FILOSOFÍA Y HUMANIDADES","Santiago, Chile",11186
Victor Fernando Figueroa Arcila,,UNIVERSIDAD AUSTRAL DE CHILE,"Valdivia, Chile",11187
Raquel del Carmen Burrows Argote,PROFESOR TITULAR,universidad de ,"Santiago, Chile",11188
Daniel Vicente López De Romaña Forga,,"INSTITUTO DE NUTRICIÓN Y TECNOLOGÍA DE LOS ALIMENTOS, UNIVERSIDAD DE CHILE","Santiago, Chile",11189
Carmen Gloria Pizarro Arriagada,Associate Professor,UNIVERSIDAD DE SANTIAGO DE CHILE,"Santiago, Chile",11190
Felix Maximiano Briones Quiroz,,UNIVERSIDAD DEL BÍO-BÍO,"Chillán, Chile",11191
NATALIA PAMELA LAM PASTEN,Profesor Asistente,UNIVERSIDAD DE CHILE,"Santiago, Chile",11192
LORENA ANDREA AGUILAR GUZMÁN,Assistant Professor,"Faculty of Veterinary Medicine and Livestock Sciences, University of Chile","Santiago, Chile",11194
Tomas Andres Rau Binder,Associate professor,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11195
Gonzalo Alonso Cortez Matcovich,PROFESOR TITULAR,Universidad de Concepción,"CONCEPCION, Chile",11196
Mauricio Daniel Fuentealba Carrasco,Profesor Adjunto,Pontificia Universidad Católica de Valparaíso,"Valparaíso, Chile",11197
Miguel Nicanor Llanos Silva,,INST. NUTRICIÓN Y TEC. DE LOS ALIMENTOS (INTA). UNIVERSIDAD DE CHILE,"Santiago, Chile",11198
Carina Alejandra Valenzuela Avendaño,,"UNIVERSIDAD DE VALPARAÍSO, FACULTAD DE FARMACIA","Valparaíso, Chile",11199
Raul Ferreyra Espada,,INSTITUTO DE INVESTIGACIONES AGROPECUARIAS,"Santiago, Chile",11200
Carlos Cristián Martinez Mendez,Profesor Asociado,UNIVERSIDAD DE LOS LAGOS,"Osorno, Chile",11201
Jose Edmundo Mansilla Villarroel,,UNIVERSIDAD DE LOS LAGOS,"Osorno, Chile",11202
Marisol Del Pilar Lara Castillo,,UNIVERSIDAD DE CHILE,"Santiago, Chile",11203
Cecilia Rojas Baechler,,"ICBM, FACULTAD DE MEDICINA, UNIVERSIDAD DE CHILE","Santiago, Chile",11204
Mario Laborda,Profesor Asociado,UNIVERSIDAD DE CHILE,"Santiago, Chile",11205
Sigmon Ronald Betancourt Mainhard,,UNIVERSIDAD DE CHILE,"Santiago, Chile",11206
Walter Daniel Sierralta Lundin,,"INSTITUTO DE NUTRICIÓN Y TECNOLOGÍA DE LOS ALIMENTOS, UNIVERSIDAD DE CHILE","Santiago, Chile",11207
David Vantman Bretschneider,,UNIVERSIDAD DE CHILE,"Santiago, Chile",11208
Valentina Isabel Bulo Vargas,,"UNIVERSIDAD DE SANTIAGO DE CHILE, INSTITUTO DE ESTUDIOS AVANZADOS","Santiago, Chile",11209
Francisco Osorio,Académico,FACSO UNIVERSIDAD DE CHILE,"Santiago, Chile",11210
María Cecilia Bravo Núñez,DIRECTORA DE PREGRADO,UNIVERSIDAD DE CHILE,"Santiago, Chile",11211
