Nombre Institución,Investigadores,Número de Reseñas Verificadas,Número de Publicaciones
Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM),484,11,3.471
"Indian Institute of Technology (Indian School of Mines), Dhanbad",482,24,8.230
Penza State University,482,1,253
National Research Centre - Kurchatov Institute,482,-,419
Ulsan National Institute of Science and Technology (UNIST),481,7,2.150
Ivan Kozhedub Kharkiv National Air Force University (KNAFU),481,-,24
George Washington University,481,13,4.656
Charite Medical University of Berlin,480,27,6.384
Universidade Federal do Rio Grande,480,4,1.527
University of Manitoba,480,16,5.109
University of Ferrara,479,23,6.885
University of Aberdeen,479,22,5.590
Zhengzhou University,479,21,3.660
Instituto Universitario de Lisboa,477,18,4.785
Johns Hopkins Medicine,476,24,4.692
University of Saskatchewan,475,17,5.517
University of Oradea,474,5,2.310
Maastricht University,472,20,5.161
Kyiv National Economic University named after Vadym Hetman,472,-,34
Brown University,472,22,6.239
Universidade Federal do Vale do São Francisco (UNIVASF),470,1,530
Pontificia Universidade Católica do Paraná,470,4,2.934
Argonne National Laboratory,468,10,7.287
Universiti Teknologi Petronas,467,14,3.303
Singapore Management University,467,2,892
University of East Anglia,466,15,4.368
Pacific Northwest National Laboratory,466,13,3.928
East China Normal University,465,12,2.479
University of Bonn,465,21,4.866
Erasmus University Medical Center,465,26,8.145
University of Guelph,465,19,6.398
University of Messina,465,35,8.436
University of Brescia,463,24,6.103
Drexel University,462,9,3.451
Texas A&M University College Station,460,31,8.151
Umea University,459,25,6.483
University of Tsukuba,458,14,4.486
UFPI - Federal University of Piaui,458,-,835
Atatürk University,456,6,1.785
Universidade Federal do Amazonas,455,3,1.210
"Indian Institute of Technology, Guwahati",455,13,3.786
University of Zagreb,454,32,8.187
Icahn School of Medicine at Mount Sinai,454,27,8.408
Auburn University,453,10,3.762
Universidade Presbiteriana Mackenzie,453,3,1.628
University of Anbar,452,6,3.020
Hohai University,452,11,2.869
Chulalongkorn University,452,17,5.222
Mazandaran University of medical sciences,451,7,1.710
Clemson University,451,13,5.036
University of Rijeka,451,8,2.292
University of Warmia & Mazury,451,11,3.817
Universite de Montpellier,449,4,2.264
Huazhong Agricultural University,449,4,1.431
Universidade Federal Rural do Rio de Janeiro,449,-,774
University of Hawaii Manoa,449,12,4.456
Indian Institute of Technology (IIT) - Kanpur,447,7,4.089
Mayo Clinic,446,43,10.764
Kobe University,445,17,3.728
"Islamic Azad University, Tehran Science & Research Branch",445,12,2.922
Hefei University of Technology,445,6,2.439
"University of Rijeka , Faculty of Medicine",444,3,1.033
University of Louisville,443,22,5.317
University of Indonesia,442,4,1.549
Medical University of Bialystok,442,6,1.581
Universidade da Beira Interior,442,31,7.727
Friedrich Alexander University of Erlangen-Nuremberg,441,13,3.971
University of Verona,439,27,6.920
Universidad Pública de Navarra,439,23,5.503
Université de Lorraine,438,11,3.250
"Centro de Investigaciones Energeticas, Medioambientales y Tecnologicas, CIEMAT",438,6,1.979
Shahid Beheshti University,438,11,4.018
Indiana University System,438,23,8.329
Wayne State University,438,19,5.156
Herzen State Pedagogical University of Russia,438,-,67
Universiti Malaysia Sabah,437,10,2.206
Sobolev Institute of Geology and Mineralogy SB RAS,437,-,164
Universiti Teknikal Malaysia Melaka,437,14,3.797
Northumbria University,437,19,5.246
International Islamic University,436,7,1.666
Northwest A&F University - China,435,6,1.645
University of Kiel,435,14,3.537
Université Libre de Bruxelles,435,8,3.710
Erciyes University,435,14,4.006
"Université 8 mai 1945 Guelma, Algeria",434,2,1.487
Babol University of Medical Sciences,433,3,640
Northeastern University,433,10,2.545
Temple University,433,21,5.828
University of Hamburg,432,15,3.755
"University of Chemistry & Technology, Prague",432,7,2.052
Technical University of Cluj - Napoca,431,17,6.174
"Universidade Federal do Maranhão, UFMA (Federal University of Maranhão)",431,-,941
Western Sydney University,431,15,4.702
Ternopil Volodymyr Hnatiuk National Pedagogical University,431,-,127
Ocean University of China,430,5,1.826
Kozma Minin Nizhny Novgorod State Pedagogical University,429,-,13
Universidad Veracruzana,429,5,2.040
Perm National Research Polytechnic University,427,-,114
Instituto do Coração do Hospital das Clínicas da Faculdade de Medicina da USP (InCor HCFMUSP),427,1,1.108
National University of Defense Technology,426,3,1.273
Frumkin Institute of Physical Chemistry & Electrochemistry Russian Academy of Sciences,426,2,474
Jizzakh State Pedagogical Institute,425,-,-
Annamalai University,425,3,1.110
Southwest Jiaotong University,425,9,3.086
Fondazione IRCCS Istituto Nazionale Tumori Milan,425,6,2.009
Beijing University of Posts and Telecommunications,425,6,1.672
"Military Medical Academy named after S.M. Kirov, Saint-Petersburg",425,-,6
Medizinische Universität Wien,424,24,8.612
Iuliu Hatieganu University of Medicine and Pharmacy Cluj Napoca,424,14,5.104
Universiti Malaysia Sarawak (UNIMAS),424,8,1.808
University of Oulu,424,23,6.483
Kyung Hee University,423,7,1.880
Heriot-Watt University,421,8,2.611
Al Azhar University,420,13,3.992
Bashkir State Agrarian University,419,-,58
Universite de Strasbourg,418,13,2.709
"Moscow Power Engineering Institute, MPEI",418,-,246
Saint-Petersburg State Institute of Technology (Technical University),417,-,54
Universita della Campania Vanvitelli,417,37,7.270
University of Reading,417,18,4.438
University of Surrey,417,16,5.184
"Institute of Organic Chemistry and Biochemistry, Academy of Sciences of the Czech Republic",417,4,1.372
Jiangnan University,417,4,1.308
Eskişehir Osmangazi University,416,11,2.928
University of New Mexico,415,19,5.778
Anna University,415,2,1.363
Polissia National University,415,-,3
Donghua University,414,7,4.071
Alekseev Nizhny Novgorod State Technical University,413,-,81
Imam Al-Kadhum college (IKC),413,-,113
University of Kansas,413,14,3.637
MERSIN UNIVERSİTY,412,4,1.651
University of Cincinnati,412,19,5.417
Gomel State Medical University,411,-,58
Sharif University of Technology,410,19,4.738
Utah State University,409,7,2.993
ITM (Instituto Tecnológico Metropolitano de Medellín),409,1,205
University of Žilina,408,7,2.679
University of Evora,408,13,5.224
I. Horbachevsky Ternopil State Medical University,408,-,6
Urmia University of Medical Sciences,407,-,382
Jiangsu University,406,15,2.973
"National Technical University ""Kharkiv Polytechnic Institute""",405,1,342
Tyumen State University,404,1,464
Warsaw University of Life Sciences - SGGW,404,19,5.733
King Faisal University,403,10,2.416
Humboldt-Universität zu Berlin,402,11,3.293
Aligarh Muslim University,402,9,3.511
Swinburne University of Technology,402,21,7.260
Centro de Investigación y de Estudios Avanzados del Instituto Politécnico Nacional (CINVESTAV),402,15,3.894
MIREA - Russian Technological University,401,2,296
Immanuel Kant Baltic Federal University,401,1,260
University College Cork,401,10,3.317
University of Washington (UW) - Seattle,401,13,3.418
"Queen's University, Kingston, Canada",401,10,3.736
Universidade do Estado de Santa Catarina,400,2,1.329
University of Sussex,400,12,3.238
VI Vernadsky Crimean Federal University,400,-,43
Nanjing Tech University,399,7,1.565
University of Lodz,399,2,1.364
Yale School of Medicine,399,5,2.239
Golestan University of Medical Sciences,398,1,238
Pavlo Tychyna Uman State Pedagogical University,398,-,4
Zagazig University,397,39,12.517
Kansas State University,395,18,4.482
University of Missouri-Columbia,395,20,5.555
Vyatka State University,395,-,17
Instituto Butantan,395,1,533
Universität Innsbruck,394,19,4.596
Anadolu University,394,3,1.249
University of Wuerzburg,394,18,4.613
Universidad de Antioquia - UdeA,394,4,1.188
Pirogov Russian National Research Medical University (RNRMU),393,-,258
Umm Al Qura University,393,5,3.219
China University of Petroleum,393,7,2.930
Volgograd State University (VOLSU),392,-,54
Nuclear and Energy Research Institute - IPEN-CNEN/SP,391,-,359
Mendeleev Russian University of Chemical Technology,391,1,406
University of Agricultural Sciences & Veterinary Medicine Cluj Napoca,391,19,4.560
Instituto Tecnológico de Aeronáutica (ITA),390,5,1.418
University of Gdansk,389,4,1.844
Mahidol University,389,6,2.602
University of Freiburg,389,21,5.060
Brunel University,388,12,3.224
Birjand Univercity of Medical Sciences,388,2,766
Krasnoyarsk State Medical University,387,-,32
Banaras Hindu University,387,7,2.015
Waseda University,386,11,2.823
Universidade Federal de Ouro Preto (UFOP),386,2,914
Istituto Italiano di Tecnologia - IIT,385,15,4.277
Technion - Israel Institute of Technology,385,11,3.717
University of Delhi,385,9,2.431
Technische Universität Wien,385,9,4.525
Polytechnic University of Timisoara,384,17,4.979
O.M.Beketov National University of Urban Economy in Kharkiv,383,-,49
Alzahra university,382,9,2.651
University of Texas Dallas,382,9,3.015
Hirosaki University,381,6,1.709
National Yang Ming Chiao Tung University,381,16,3.355
Ardabil University of Medical Sciences,380,-,525
Universiti Malaysia Perlis,380,18,4.889
Grigore T. Popa University of Medicine and Pharmacy Iasi,379,12,2.766
Scientific Centre for Expert Evaluation of Medicinal Products,379,-,1
"""Gheorghe Asachi"" Technical University of Iasi, Romania",379,25,7.630
COMSATS University Islamabad,379,6,1.487
George Mason University,379,15,3.950
Tomas Bata University in Zlín,379,5,1.035
Russian State Social University,379,-,30
National Institute of Technology Rourkela,378,10,3.118
Kurdistan University of Medical Sciences,378,3,753
Selcuk University,378,7,2.437
Universidade do Vale do Rio dos Sinos (Unisinos),377,3,1.689
Edith Cowan University,377,20,5.949
Yaroslav Mudryi National Law University,377,-,18
University of Cologne,376,11,3.033
Free University Berlin,375,11,3.346
Quaid-i-Azam University,375,5,2.162
University of Miami,375,25,5.872
Manipal University,375,26,6.330
Zhytomyr Ivan Franko State University,375,-,32
Shirshov Institute of Oceanology,374,-,333
National University of Sciences & Technology - Pakistan,374,11,2.772
Qazvin University of Medical Sciences,373,3,524
Charles Sturt University,373,7,3.058
"Tomsk National Research Medical Center, Russian Academy of Sciences",372,-,171
Nosov Magnitogorsk State Technical University,372,2,634
Moscow State University of Civil Engineering,372,-,185
"University of Debrecen, Debrecen, Hungary",371,17,4.497
University of Liege,370,15,5.236
Ondokuz Mayis University Samsun,370,3,1.065
Concordia University,370,18,6.038
Oregon Health & Science University,369,20,5.758
Universidad Nacional Mayor de San Marcos,369,-,470
Universidade Federal de São Paulo - Escola Paulista de Medicina,369,1,923
Medical University of Gdańsk,368,4,1.651
Zhejiang University of Technology,367,3,1.319
Shahrekord University of Medical Sciences,367,2,603
"Shahid Sadoughi University Of Medical Sciences, Yazd, Iran",366,2,628
Guangdong University of Technology,366,2,1.339
Beijing Jiaotong University,366,1,625
Manchester Metropolitan University,366,16,5.599
Polytechnic Institute of Porto,365,26,6.893
Oklahoma State University - Stillwater,365,14,3.486
Beijing University of Chemical Technology,363,15,3.295
University of St Andrews,363,11,2.896
University of Siena,363,16,4.273
Dalhousie University,362,17,5.166
Indiana University - Bloomington,362,13,2.923
Technische Universität Darmstadt,362,10,2.663
Universidade Estadual do Oeste do Paraná,361,2,789
University of New England,361,18,4.762
Institute of Bioorganic Chemistry of the Russian Academy of Sciences,360,-,465
University of Rochester,360,14,3.642
West Virginia University,359,14,5.229
Hormozgan University of Medical Sciences,359,2,703
University of South Carolina,359,18,6.100
Hacettepe University Faculty of Engineering,359,2,636
china university of mining and technology,358,8,2.348
Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo - HCFMUSP,358,4,986
Universitas Negeri Surabaya,358,-,86
University of Calabria,358,27,6.611
University of Jyväskylä,357,8,2.816
Odessa National Economic University,357,-,1
Universidad Autónoma de San Luis Potosí,357,4,1.828
Nottingham Trent University,357,18,6.747
Simon Fraser University,357,16,4.570
Assiut University,356,28,10.006
Catholic University of Louvain,355,15,4.715
"Agricultural Research, Education and Extension Organization (AREEO)",355,1,447
Federal University of Itajubá (UNIFEI),355,1,877
Bogomolets National Medical University,355,4,1.133
Bialystok University of Technology,355,12,3.546
Georgia State University,355,16,4.799
IRCCS European Institute of Oncology (IEO),355,3,1.166
Sumy National Agrarian University,354,-,23
Voronezh State Technical University,354,1,108
Open University - UK,353,3,2.254
IRCCS Policlinico Gemelli,353,11,3.206
Plant & Food Research,353,-,880
Pohang University of Science & Technology (POSTECH),351,12,2.745
"""Dunarea de Jos"" University of Galati, ROMANIA",351,8,2.399
"Cukurova University, Faculty of Medicine",351,2,383
Cranfield University,351,14,6.297
University of Patras,351,31,8.009
Qatar University,350,19,4.707
Isfahan University of Technology,349,11,4.947
University of Wroclaw,349,2,1.186
Universidade Federal de Campina Grande,348,4,1.369
University of Texas at San Antonio (UTSA),348,11,3.433
Kazan National Research Technical University - KAI,348,1,278
Nanjing Agricultural University,348,3,1.358
West University of Timisoara,347,7,2.145
Pusan National University,347,7,2.290
University of Johannesburg,347,14,4.808
Middle Technical University,347,14,3.648
Mordovian State University,346,-,72
Koya University (Kurdistan Region),346,1,417
University Del Norte,346,-,450
"Institute of Chemistry, Chinese Academy of Sciences",346,4,1.882
State University of Management,345,1,121
Friedrich Schiller University Jena,345,17,4.678
Universidade Católica Portuguesa,344,9,2.410
University of Science and Technology Houari Boumediene (USTHB),344,5,1.318
University of Iceland,344,4,1.529
Uludag University,344,5,2.285
Technical University of Berlin,343,15,4.681
Sumy State University,343,-,468
Universidade Federal de Sao Joao del-Rei,343,7,2.197
National Tsing Hua University,342,4,1.824
"University Medical Center Groningen (UMCG), University of Groningen",342,11,3.142
SRM Institute of Science & Technology,342,11,2.538
National Institute of Standards & Technology (NIST) - USA,342,4,1.237
Marche Polytechnic University,342,24,7.350
Australian Catholic University,341,6,2.154
Nanchang University,341,8,2.444
Poltava State Agrarian Academy,341,1,100
Sultan Qaboos University,341,24,6.541
University of Oklahoma,340,19,4.253
Kharkiv Petro Vasylenko National Technical University of Agriculture,340,-,35
University of Hull,340,10,2.680
Al-Balqa Applied University,339,6,4.177
"""G.d'Annunzio"" University of Chieti-Pescara",339,21,6.690
Kaunas University of Technology,339,11,4.587
"ASCR, Institute of Microbiology",339,4,1.216
Universite Paris Sud - Paris 11,338,12,2.949
Jinan University,338,8,2.528
University of Duisburg Essen,337,8,2.704
University of Texas Health Science Center Houston,337,14,4.954
"Université Abou Bekr Belkaid, Tlemcen",337,1,473
Universitas Padjadjaran,336,1,650
University of Dundee,336,10,3.335
"London School of Economics and Political Science, University of London",335,16,4.357
Tufts University,334,15,3.782
Joint Institute for Nuclear Research,334,2,536
University of Waikato,334,7,3.092
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,334,1,984
"Institute of Applied Physics, Russian Academy of Sciences",334,-,411
Vilnius University,333,7,3.006
Tomsk State University of Control Systems and Radioelectronics,333,-,191
University of Southern Queensland,333,7,2.708
Auckland University of Technology,332,19,5.153
Institute of Nuclear Physics Polish Academy of Sciences,331,1,686
Goethe University Frankfurt,330,15,3.960
Suleyman Demirel University,329,1,2.115
Tampere University of Technology,329,1,847
Institut Teknologi Bandung (ITB),329,8,1.466
Lorestan University of Medical Sciences,329,1,239
Harbin Engineering University,329,10,2.543
Dnipro National University of Railway Transport,329,1,109
St. Petersburg State Electrotechnical University LETI,328,9,2.219
Universidad de Santiago de Chile,328,3,1.472
"New Horizon College of Engineering, Bangalore",328,-,171
Slovak University of Technology Bratislava,327,6,2.646
University of Essex,327,17,3.705
Universidad de Burgos,327,8,2.651
Universitas Gadjah Mada,326,5,1.549
Johannes Kepler University Linz,326,14,3.098
Swansea University,326,5,1.501
Kazan State University of Architecture and Engineering,326,-,18
Don State Technical University,325,3,1.414
York University,325,14,3.238
University of Agriculture Faisalabad,325,9,2.915
Southwest University,325,6,1.938
Moscow Institute of Electronic Technology,324,-,97
Plymouth University,324,5,2.517
Instituto Federal de Sao Paulo (IFSP),324,-,279
Istinye University,324,6,3.066
University of the South Pacific,323,2,868
"National Pirogov Memorial Medical University, Vinnytsya",323,-,143
"Dalian Institute of Chemical Physics, Chinese Academy of Sciences",323,5,1.767
Moscow Polytechnic University,323,-,35
Kemerovo State University,323,3,1.717
Helmholtz-Center Munich - German Research Center for Environmental Health,322,4,1.328
Universidad Autónoma de Baja California,321,5,2.281
University of Ljubljana,321,20,4.489
Fuzhou University,321,15,3.756
Universidad de Guanajuato,321,10,1.592
Sathyabama University,321,3,1.161
North-Eastern Federal University in Yakutsk,320,-,11
Weizmann Institute of Science,320,2,1.527
Weill Cornell Medicine,320,20,4.934
University of Kent,320,9,2.582
Universidade Estadual de Ponta Grossa,320,3,952
"Prydniprovska State Academy of Civil Engineering and Architecture, PSACEA",320,-,2
Kharkevich Institute for Information Transmission Problems of the RAS,318,3,636
University of Salento,318,26,7.264
University of Deusto,318,7,2.197
Universitat Oberta de Catalunya,317,10,2.469
University of Silesia,317,5,2.051
"Covenant University, Canaanland, Ota, Ogun State, Nigeria",317,6,2.534
"Universidade Estadual do Norte Fluminense ""Darcy Ribeiro"", UENF",317,4,1.947
National Technical University of Athens,317,28,13.791
Volgograd State Medical University,316,-,77
Biology Centre of the Czech Academy of Sciences,316,4,1.810
University of Eastern Finland,314,7,3.608
Andijan State Medical Institute,314,-,-
Universite de Nantes,314,6,3.418
University of Aquila,313,18,6.679
Paul Scherrer Institut (PSI),313,6,1.465
K. N. Toosi University of Technology,312,12,3.184
University of Portsmouth,312,11,4.283
Beijing Forestry University,310,-,762
Voronezh State University,310,2,444
Koc University,309,7,2.502
Moscow State University of Food Production,309,-,1
University of Leipzig,309,11,3.256
University of Trieste,308,17,4.905
University of Bremen,308,12,3.003
Georg-August University Göttingen,308,17,4.354
Universidad de Los Andes,308,8,1.413
University of the Sunshine Coast,308,13,4.596
Xidian University,307,10,2.080
Malla Reddy Engineering College (Autonomous),307,1,132
Mugla Sitki Kocman University,306,4,1.852
University of Ostrava,305,2,685
Brigham Young University,305,8,2.977
Pontifícia Universidade Católica de Minas Gerais,305,-,331
Universidad del Valle,305,-,453
"Escola de Engenharia de São Carlos - Universidade de São Paulo, EESC-USP",304,1,398
"Animal and Plant Health Agency, APHA",303,1,166
V.N. Karazin Kharkiv National University,302,4,713
University of Macau,302,22,5.580
Aston University,301,11,2.975
Carleton University,301,12,3.205
IRCCS Ospedale San Raffaele,301,15,2.757
Memorial Sloan Kettering Cancer Center (MSKCC),301,11,2.984
Universite de Rennes 1,301,10,3.655
Universidad Católica de Valencia San Vicente Mártir,300,2,491
All India Institute of Medical Sciences,300,19,5.547
Centre for Genomic Regulation (CRG),300,-,293
University of Texas at Arlington,298,8,3.073
Universidad Catolica de Murcia,298,4,1.331
Tilburg University,298,9,2.408
IRCCS Humanitas Research Hospital,298,3,1.408
Universidad Politécnica de Cartagena (UPCT),298,11,3.973
Universidade Federal de Alfenas,298,2,829
Gubkin Russian State University of Oil & Gas,297,-,233
Khon Kaen University,297,10,3.186
Universidade Paulista,297,1,584
Roma Tre University,297,16,4.023
Canakkale (18th March) University,297,6,1.485
Pamukkale University,296,4,1.023
University of Mazandaran,296,8,2.193
South China Normal University,296,6,1.557
Moscow State University of Psychology & Education,295,-,36
Lawrence Livermore National Laboratory,295,4,1.973
Universidad Austral de Chile,295,5,1.811
North Caucasus Federal University,294,-,146
Bila Tserkva National Agrarian University,294,-,-
University of Victoria,294,17,3.595
University of Isfahan,294,6,2.841
"Institute of Physics, Polish Academy of Sciences",293,3,907
Multimedia University,293,4,1.764
"École Polytechnique de Montréal, Université de Montréal",293,10,3.327
Beijing University of Technology,292,7,2.377
"Islamic Azad University, Najafabad Branch",292,7,3.458
Istituto Nazionale Geofisica e Vulcanologia (INGV),292,2,1.083
University Medical Center Utrecht,292,21,4.683
Murdoch University,291,9,3.531
University of Udine,291,15,4.143
Nanjing University of Information Science & Technology,290,16,4.094
University of Canterbury,290,11,2.746
Chongqing Medical University,290,2,656
"National University of Food Technologies, NUFT",290,-,16
Universidade de Passo Fundo (UPF),289,-,399
Universidad de Medellín,289,-,94
Sakarya University,289,1,713
Donbass State Pedagogical University,288,-,14
Shahid Chamran University of Ahvaz,288,6,1.842
Southwest State University,288,1,114
Semnan University,288,11,4.087
University of Potsdam,288,14,2.887
Bushehr University of Medical Sciences,287,1,291
"University of Ibadan, Ibadan, Nigeria UI",287,4,1.577
UK Centre for Ecology & Hydrology,287,3,1.273
Semnan University of Medical Sciences,286,-,203
Universite Toulouse III - Paul Sabatier,286,9,2.151
Mississippi State University,286,10,3.599
Prince Sultan University,286,6,2.420
Kyungpook National University,285,10,2.470
University of Oregon,285,6,1.714
Samara State Academy of Architecture and Civil Engineering,285,-,2
"National Institute of Technology, Trichy",285,6,1.786
Saken Seifullin Kazakh Agrotechnical University,285,-,15
Sobolev Institute of Mathematics of SB RAS,284,1,497
Guangxi University,283,5,1.571
Fondazione IRCCS Ca Granda Ospedale Maggiore Policlinico Università degli studi di Milano,283,4,1.448
Kashan University of Medical Sciences,283,2,486
Admiral Makarov National University of Shipbuilding,283,-,46
Chiang Mai University,282,3,2.036
United States Geological Survey,282,10,2.760
Scripps Research,282,1,841
"Higher School of Economics, HSE (Campus in St. Petersburg)",281,1,228
Albert Einstein College of Medicine,281,8,2.860
Perm State University,281,-,93
Syktyvkar State University,281,-,3
Kutateladze Institute of Thermophysics of the Siberian Branch of the Russian Academy of Sciences,280,-,258
University of Texas Health Science Center at San Antonio,280,9,2.790
Persian Gulf University,280,3,1.061
Jagiellonian University Medical College,279,11,2.697
Charles Darwin University (CDU),279,8,1.837
China Pharmaceutical University Nanjing,279,5,916
"Instituto de Ecología, A.C. (INECOL), CONACYT",279,2,635
Bogdan Khmelnitsky Melitopol State Pedagogical University,278,-,16
Universidad de La Sabana,278,1,424
Zahedan University of Medical Sciences,277,3,1.053
Orenburg State University,277,-,7
University of Alabama,277,10,1.894
"Institute of Philosophy, Russian Academy of Sciences",277,-,1
Payame Noor University,276,5,2.210
Cracow University of Technology / Politechnika Krakowska,276,15,4.153
Chechen State University,276,-,-
Medical College of Wisconsin,276,20,5.659
Amity University Noida,276,3,702
Medical University of South Carolina,276,10,3.752
University of Crete,276,13,3.761
Semenov Institute of Chemical Physics,275,2,664
Universitas Muhammadiyah Yogyakarta,275,1,327
Tulane University,275,9,2.606
Hospital Clinic Barcelona,275,7,2.421
Hong Kong Baptist University,275,6,1.753
Kuban State University,274,2,279
Samara State Medical University,273,1,897
Ihsan Dogramaci Bilkent University,273,6,1.752
Chiba University,273,8,2.354
"Kurnakov Institute of General and Inorganic Chemistry of the Russian Academy of Sciences, IGIC RAS",272,2,415
Helwan University,272,8,3.796
"University of Nevada, Las Vegas",272,11,2.986
Polytechnic School of University of São Paulo,272,2,773
University of Kurdistan,271,8,1.798
Victor Babes University of Medicine and Pharmacy,270,9,2.981
Georgetown University,270,5,2.747
Skolkovo Institute of Science and Technology (Skoltech),270,6,1.352
Belgorod State Technological University named after V.G. Shukhov,269,-,81
Pontificia Universidad Javeriana,269,2,1.051
Ryerson University,269,18,5.552
SRM University - kattakuathur campus,269,3,967
University of Wyoming,269,8,3.046
Muffakham Jah College of Engineering & Technology,269,-,262
Universidade Estadual de Santa Cruz (UESC),269,-,480
University of Natural Resources and Life Sciences Vienna (BOKU),269,14,4.215
Centers for Disease Control & Prevention - USA,268,6,1.664
Pondicherry University,268,3,1.245
Hospital de Clínicas de Porto Alegre (HCPA),268,2,892
North-West University,267,2,1.737
National Institute of Amazonian Research - INPA,267,-,755
"University of Nevada, Reno",267,10,3.052
Transylvania University of Brasov,267,12,3.507
Kent State University,266,17,4.119
Joint Institute for High Temperatures of the Russian Academy of Sciences,266,-,311
SRKR Engineering College,266,-,60
"Royal College of Surgeons in Ireland, RCSI",266,4,1.866
Comillas Pontifical University,265,-,598
University of Life Sciences in Lublin,265,10,3.458
Memorial University Newfoundland,265,15,4.070
Helmholtz Centre for Environmental Research - UFZ,265,18,3.546
"Institute of Physics, Chinese Academy of Sciences",265,2,890
University of Buenos Aires,265,11,3.105
Universidade de Pernambuco (UPE),264,1,771
Coventry University,264,12,3.366
Dublin City University,264,11,2.994
Yangzhou University,264,8,2.524
South China Agricultural University,264,5,1.123
University of North Texas Denton,264,10,2.937
Colorado School of Mines,264,3,1.206
Universita' Ca' Foscari Venezia,264,14,3.228
Universidad Michoacana de San Nicolás de Hidalgo,264,2,1.044
University of Hyderabad,264,3,1.799
Poznan University of Life Sciences,264,19,3.648
Universidade Federal dos Vales do Jequitinhonha e Mucuri - UFVJM,264,1,866
New Mexico State University,263,9,2.262
Ulm University,263,9,2.750
Visvesvaraya National Institute of Technology,263,7,1.687
Kasetsart University,263,2,1.070
Northern Arctic Federal University,263,-,78
University of Huddersfield,262,10,3.636
Hasselt University,262,10,2.021
MADANAPALLE INSTITUTE OF TECHNOLOGY & SCIENCE,262,2,744
University of Colorado-Anschutz Medical Campus,261,14,3.516
Bangor University,261,4,2.323
Chang'an University,261,4,1.494
Hospital Israelita Albert Einstein,261,3,1.371
Universitas Telkom,260,2,493
Rensselaer Polytechnic Institute,260,3,1.284
Wroclaw Medical University,260,5,1.486
Kumaraguru College of Technology (KCT),260,2,739
Chung Ang University,259,8,1.989
Ufa State Aviation Technical University,259,2,414
"Birla Institute of Technology, Ranchi",259,9,2.351
Universidade Federal da Grande Dourados,259,1,417
Al-Mustaqbal University College,259,1,388
Polytechnic Institute of Lisbon,258,17,4.958
Universitas Sriwijaya,257,1,289
Higher Colleges of Technology,257,2,433
Agricultural Research Service - USDA,257,19,4.384
"Kyrgyz State Technical University, KSTU",257,-,-
University of Wisconsin Milwaukee,257,6,1.934
Universidad CEU Cardenal Herrera,257,3,883
University of Canberra,257,11,2.749
Kwame Nkrumah University Science & Technology,257,10,2.755
University of Craiova,256,7,2.170
Nanjing Normal University,256,14,2.745
University of Guilan,256,8,2.777
Universidad Autónoma Chapingo,256,1,182
University of Salford,256,2,1.176
Russian State University for the Humanities,255,-,8
Brookhaven National Laboratory,255,5,1.113
Prince of Songkla University,255,4,1.542
Rafsanjan University of Medical Sciences,255,-,112
University of Zanjan,254,13,4.414
Tokyo University of Marine Science and Technology,254,-,325
Belarusian State University,254,4,808
University of Tübingen,254,17,4.296
University of Stuttgart,254,14,3.383
Shahid Bahonar University of Kerman,254,5,2.128
University of Paris Descartes,254,7,1.655
Indian Institute of Technology (IIT BHU) - Varanasi,254,6,1.815
Baskent University,253,3,956
"Yıldız Technical University, YTU",253,1,286
Technische Universität München,253,21,4.896
Instituto Politécnico de Bragança,253,10,2.525
UFCSPA - Universidade Federal de Ciências da Saúde de Porto Alegre,253,2,733
Ton Duc Thang University,253,12,4.236
University of Sadat City,252,-,327
National Oceanic and Atmospheric Administration (NOAA),252,5,1.751
Tikrit University,252,6,2.630
Universidade Federal do Triângulo Mineiro - UFTM,251,1,538
Universite de Bourgogne,251,4,1.824
Military University of Technology in Warsaw,251,5,1.589
Harbin Medical University,250,1,425
Tanta University,250,19,5.623
wenzhou medical university,250,3,930
Institut de Phisique du Globe,250,-,192
Jadavpur University,250,10,3.609
North China Electric Power University,250,5,1.542
Kyrgyz State Medical Academy,249,-,15
TED University,249,-,171
University of Nebraska Medical Center,249,17,4.297
National Health Research Institutes - Taiwan,249,4,722
Adnan Menderes University,249,7,1.818
"Justus-Liebig-University Giessen, JLU",249,3,1.472
University of Luxembourg,248,10,3.477
J. Heyrovsky Institute of Physical Chemistry of the Czech Academy of Sciences,248,5,1.115
Platov South Russian State Polytechnic University,248,-,91
University of Pennsylvania School of Medicine,248,3,1.276
University of Sassari,247,17,4.886
Universidad andres bello,247,4,902
Universitas Sumatera Utara,247,1,468
University of Karachi,247,6,1.543
Czech academy of sciences,246,7,1.474
Institute of Physiology of the Czech Academy of Sciences,246,-,300
Instituto Politécnico de Leiria,246,18,5.060
"University of Cape Coast, Cape Coast, Ghana",245,7,2.504
Universidad de La Frontera,245,1,755
Renmin University of China,244,3,800
"Academic Medical Center, Amsterdam",244,9,2.109
Université Paris-Diderot,244,8,2.852
Tashkent Pharmaceutical Institute,244,-,4
The Institute of Problems of Chemical Physics of the RAS,244,-,85
"Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences",244,4,1.162
University of North Carolina at Charlotte,243,10,3.603
QIMR Berghofer Medical Research Institute,243,4,1.481
