Autor,Universidad,Correo,Intereses,Cant Citas
ROBERTO J. ASSEF,Universidad Diego Portales,Dirección de correo verificada de mail.udp.cl,Active Galactic Nuclei Galaxy Evolution ,Citado por 9481
fernando zegers-hochschild,Emeritus professor University Diego Portales and Clinica las Condes,Dirección de correo verificada de udp.cl,reproductive medicine ,Citado por 9478
JORGE IGNACIO GONZÁLEZ LÓPEZ,Universidad Diego Portales,Dirección de correo verificada de mail.udp.cl,Galaxy evolution Interstellar medium high redshift galaxies and data science ,Citado por 9256
Manuel Aravena,"Professor of Astrophysics, Universidad Diego Portales",Dirección de correo verificada de mail.udp.cl,Galaxy formation Galaxy evolution Submillimeter galaxies ISM of galaxies ,Citado por 9050
LUCAS CIEZA,Universidad Diego Portales,Dirección de correo verificada de mail.udp.cl,Astronomy ,Citado por 8986
Alice Zurlo,Universidad Diego Portales,Dirección de correo verificada de mail.udp.cl,Exoplanets ,Citado por 5554
Will Brooks,Universidad Técnica Federico Santa Maria,Dirección de correo verificada de usm.cl,High Energy and Nuclear Physics ,Citado por 183014
Raquel Pezoa,Universidad Técnica Federico Santa María,Dirección de correo verificada de usm.cl,artificial intelligence machine learning computer vision image processing ,Citado por 148996
Samir Kouro,Universidad Técnica Federico Santa María,Dirección de correo verificada de usm.cl,Power Electronics Renewable Energy Multilevel Converters Wind Energy Electromobility ,Citado por 25218
Patricio Cortes,"Universidad Tecnica Federico Santa Maria, Chile",Dirección de correo verificada de usm.cl,Power Electronics Predictive Control ,Citado por 14163
Marcelo A. Perez,Universidad Tecnica Federico Santa Maria,Dirección de correo verificada de usm.cl,Power electronics multilevel converters smart grids ,Citado por 13999
Ahmed El Alaoui,Universidad Tecnica Federico Santa Maria,Dirección de correo verificada de usm.cl,Non-perturbative QCD Hadronization Nuclear medium effect Spin Physics Nucleon Structure ,Citado por 10544
Cesar Silva,"Departamento de Electrónica, Universidad Técnica Federico Santa María, Chile",Dirección de correo verificada de usm.cl,AC motor drives digital control of power converters ,Citado por 8020
Pablo Lezana,Universidad Técnica Federico Santa Maria,Dirección de correo verificada de usm.cl,,Citado por 6938
Marcelo Mendoza,"Associate Professor, Universidad Técnica Federico Santa María, CCTVAL and IMFD",Dirección de correo verificada de usm.cl,Online social networks information retrieval sentiment analysis clustering web mining ,Citado por 6433
Michael Seeger,Universidad Tecnica Federico Santa Maria,Dirección de correo verificada de usm.cl,microbiology botechnology ,Citado por 5024
Médéric Boquien,Universidad de Antofagasta,Dirección de correo verificada de uantof.cl,Galaxy evolution ,Citado por 17006
Miguel Avendaño Díaz,"Profesor de Acuicultura, Universidad de Antofagasta; Chile",Dirección de correo verificada de uantof.cl,manejo y cultivo de moluscos ,Citado por 11741
Christian HR Nitschelm,"Full professor, Centro de Astronomía (CITEVA), Universidad de Antofagasta, Chile",Dirección de correo verificada de uantof.cl,Astronomy and astrophysics ,Citado por 6357
Javier Alonso-García,"Unidad de Astronomía, Universidad de Antofagasta",Dirección de correo verificada de uantof.cl,,Citado por 5138
Patricio Morales,University of Antofagasta,Dirección de correo verificada de uantof.cl,reproductive biology ,Citado por 3594
Carlos Riquelme,Universidad de Antofagasta Chile,Dirección de correo verificada de uantof.cl,marine microbiology interaction Bacteria-microalga probiotics aquaculture ,Citado por 2958
Benito Gomez-Silva,"Universidad de Antofagasta, Chile",Dirección de correo verificada de uantof.cl,Microbiology of the Atacama Desert. ,Citado por 2742
Luis Cisternas,Universidad de Antofagasta,Dirección de correo verificada de uantof.cl,optimization mineral processing process design cleaner production lithium processing ,Citado por 2605
Marcelo E Oliva,Universidad de Antofagasta Instituto Ciencias Naturales Alexander von Humboldt,Dirección de correo verificada de uantof.cl,Parasitologia marina ecologia evolucion ,Citado por 2419
"Jorge Enrique Araya, Araya JE",Profesor de Parasitología y Biología Molecular. Universidad de Antofagasta - CHILE,Dirección de correo verificada de uantof.cl,Biología Molecular de Microorganismos ,Citado por 2235
Francisco Sabatini,"Profesor titular, Universidad del Bio Bio, Chile; profesor titular adjunto, U. Católica de Chile",Dirección de correo verificada de ubiobio.cl,Planificación urbana sociologia urbana ,Citado por 6343
María Margarita Chiang Vega,"Doctora en Recursos Humanos, Universidad del Bio Bio, Chile",Dirección de correo verificada de ubiobio.cl,Comportamiento organizacional Gestión de Recursos Humanos ,Citado por 4232
Elizabeth Eliana Grandón Toledo,Universidad del Bio-Bio,Dirección de correo verificada de ubiobio.cl,technology adoption information systems electronic commerce ,Citado por 3696
Carlos Alonso Escudero Orozco,Universidad del Bio Bio,Dirección de correo verificada de ubiobio.cl,Biomedicina preeclampsia angiogenesis ,Citado por 2532
Gipsy Tabilo-Munizaga,Universidad del Bío-Bío,Dirección de correo verificada de ubiobio.cl,food science ,Citado por 2269
José Norambuena-Contreras,Associate Professor in Civil Eng. Materials - University of Bío-Bío,Dirección de correo verificada de ubiobio.cl,Bituminous Materials Self-Healing Materials Waste Materials Innovative Materials ,Citado por 2209
Julio Alarcon,Universidad del Bio-Bio,Dirección de correo verificada de ubiobio.cl,Química de Productos Naturales ,Citado por 2070
Ricardo Darío Villalobos Carvajal,Universidad del Bío-Bío- Food Engineering Department,Dirección de correo verificada de ubiobio.cl,,Citado por 1854
Carlos Torres Navarro,Universidad del Bío-Bío,Dirección de correo verificada de ubiobio.cl,Calidad Producción ,Citado por 1662
David Mora,"Universidad del Bío-Bío, Concepción, Chile",Dirección de correo verificada de ubiobio.cl,numerical analysis of PDEs finite element method virtual element discretizations ,Citado por 1363
Humberto Maturana,Universidad de Chile,Dirección de correo verificada de dcc.uchile.cl,Neurobiology Cognition Autopoiesis Language Education ,Citado por 90115
Sergio  Lavandero,"Professor & Director ACDDiS, University of Chile, Adjunct Prof., UT Southwestern Medical …",Dirección de correo verificada de uchile.cl,Cell Signaling Cardiovascular Diseases ,Citado por 28839
Alfredo Guillermo Criollo,Laboratory of Cellular and Molecular Biology Research Institute of Dental Science  Faculty …,Dirección de correo verificada de u.uchile.cl,Cellular Biology Cancer ,Citado por 28431
Mario Hamuy,"Profesor de Astronomía, Universidad de Chile",Dirección de correo verificada de u.uchile.cl,,Citado por 27719
Gonzalo Navarro,University of Chile,Dirección de correo verificada de dcc.uchile.cl,algorithms and data structures text searching compression similarity search ,Citado por 27037
José De Gregorio,Profesor de Economía Universidad de Chile,Dirección de correo verificada de fen.uchile.cl,Macroeconomics International Economics International Finance Economic Development ,Citado por 24181
Juan Segura Aguilar,"Professor, Molecular & Clinical Pharmacologt, Faculty of Medicine, University of Chile",Dirección de correo verificada de med.uchile.cl,neuroscience toxicology biochemistry molecular biology stem cells ,Citado por 18729
Lorena García Nannig,Universidad de Chile,Dirección de correo verificada de ciq.uchile.cl,Cardiovascular Disease Inflammation ,Citado por 16991
René Darío Garreaud,"Professor, Geophysics Department, Universidad de Chile",Dirección de correo verificada de uchile.cl,Atmospheric Sciences ,Citado por 15826
Mary TK Arroyo,Universidad de Chile,Dirección de correo verificada de uchile.cl,Alpine ecology pollination biogeography conservation ,Citado por 15176
Sergio Munoz,Universidad de La Frontera,Dirección de correo verificada de ufrontera.cl,Estudios poblacionales desigualdades en salud metodologia de investigacion medicion en salud ,Citado por 11779
Pamela SERON SILVA,Universidad de La Frontera,Dirección de correo verificada de ufrontera.cl,Exercise Cardiovascuar Conditions Rehabilitation ,Citado por 6731
Tamara Otzen,Universidad de La Frontera,Dirección de correo verificada de ufrontera.cl,Suicidio Revisiones Sistemáticas de la Literatura Estadística Metodología de investigación ,Citado por 6669
Fernando Borie,Universidad de La Frontera,Dirección de correo verificada de ufrontera.cl,mycorrhiza soil phosphorous glomalin ,Citado por 6542
Carlos Felimer del Valle Rojas,Universidad de La Frontera (UFRO,Dirección de correo verificada de ufro.cl,Discurso comunicación interculturalidad educación ,Citado por 5882
David Jeison,"Department of Chemical Engineering, Universidad de La Frontera",Dirección de correo verificada de ufrontera.cl,environmental biotechnology ,Citado por 5021
"MC Diez, Diez, MC, Maria Cristina Diez","profesor de Ciencias Ambientales, Universidad de La Frontera",Dirección de correo verificada de ufrontera.cl,biotecnologia ambiental ,Citado por 4813
Raúl Sánchez,Universidad de La Frontera,Dirección de correo verificada de ufrontera.cl,Biologia de la reproduccion Andrologia Medicina reproductiva ,Citado por 4539
Milko A. Jorquera,"Scientific and Technological Bioresource Nucleus (BIOREN), Universidad de La Frontera …",Dirección de correo verificada de ufrontera.cl,Microbiology and Biotechnology ,Citado por 4266
"""pablo cornejo"", ""P. Cornejo"", ""Cornejo, P."", ""Cornejo P.""","""Universidad de La Frontera"", ""Estacion Experimental del Zaidin""",Dirección de correo verificada de ufrontera.cl,Arbuscular mycorrhizal fungi soil bioremediation ,Citado por 3765
Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",Dirección de correo verificada de ulagos.cl,Seaweed Ecology and Aquaculture Sustainable Aquaculture Integrated Multi-Trophic Aquaculture ,Citado por 13183
Cristian Alvarez,Universidad de Los Lagos,Dirección de correo verificada de ulagos.cl,Actividad fisica Entrenamiento Insulino Resistencia Diabetes tipo 2 Hipertensión ,Citado por 3753
Cecilia Smith-Ramirez,"Profesor Titular, Departamento de Ciencias Biológicas y Biodiversidad, Universidad de Los …",Dirección de correo verificada de ulagos.cl,Conservación biológica mutualismos planta-animal especies invasoras restauración ecológica ,Citado por 3516
Ricardo Fernandez,Universidad de Los Lagos,Dirección de correo verificada de ulagos.cl,Systemic inflammation Air pollution ,Citado por 2498
Luis Roberto Pino-Fan,Universidad de Los Lagos,Dirección de correo verificada de ulagos.cl,Formación de Profesores Conocimiento del Profesor Didáctica de la Matemática Mathematics Education Educación Matemática ,Citado por 1836
Edwin J. Niklitschek,"Centro i~mar, Universidad de Los Lagos",Dirección de correo verificada de ulagos.cl,Ecología de poblaciones marinas ,Citado por 1154
Paulina Helena Gebauer Mery,Centro I-mar. Universidad de Lagos. Chile,Dirección de correo verificada de ulagos.cl,population biology marine larval ecology marine invertebrate ,Citado por 1119
Ricardo Fernández Acevedo,"Profesor Asociado A, Universidad de Los Lagos",Dirección de correo verificada de ulagos.cl,Control neural de la inflamación sistémica … ,Citado por 1068
Alex L. Véliz Burgos,Universidad de Los Lagos,Dirección de correo verificada de ulagos.cl,Salud y bienestar colectivo ,Citado por 943
Carolina Camus Torres,"Researcher, Centro i-mar, Universidad de Los Lagos",Dirección de correo verificada de ulagos.cl,Phycology ,Citado por 867
Alexandre Roman-Lopes,Universidad de La Serena,Dirección de correo verificada de userena.cl,Astrophysics: Massive Stars Star-Formation Regions The Galaxy ,Citado por 8593
Alexandre Roman Lopes,Universidad de La Serena - Departamento de Astronomía,Dirección de correo verificada de userena.cl,Astronomy ,Citado por 8555
Ernesto Gianoli,"Professor, Universidad de La Serena, Chile",Dirección de correo verificada de userena.cl,Ecology and Evolution ,Citado por 7276
Ricardo Amorin,"Universidad de La Serena, Astronomy Department",Dirección de correo verificada de userena.cl,Observational Astrophysics Extragalactic Astronomy Galaxy Formation and Evolution Star-forming Galaxies ,Citado por 6763
Rodolfo Barbá,"Astronomer, Universidad de La Serena",Dirección de correo verificada de userena.cl,Astronomy Astrophysics Massive Stars Binary Stars Star Formation ,Citado por 6644
Julio Roberto Gutierrez Camus,"Profesor Titular, Universidad de La Serena",Dirección de correo verificada de userena.cl,Ecología ,Citado por 6474
Javier Eduardo Silva Espejo,Universidad de La Serena,Dirección de correo verificada de userena.cl,Ecología ,Citado por 6159
juan carlos helo,"Universidad de La Serena, La Serena, Chile.",Dirección de correo verificada de userena.cl,particle physics phenomenology. ,Citado por 3112
José Luis Nilo Castellón,Universidad de La Serena,Dirección de correo verificada de userena.cl,Astronomia experimental. Astronomia … ,Citado por 2901
Claudia Elizabeth Barraza Zepeda,"Academico Media Jornada, Depto de Biología Facultad de Ciencias Universidad de la …",Dirección de correo verificada de userena.cl,microbiologia clínica educación en ciencias de la salud epidemiología inmunología ,Citado por 1264
Juan Carlos Aravena,Universidad de Magallanes,Dirección de correo verificada de umag.cl,dendrochronology climate glacial geomorphology ,Citado por 4159
Jorge Carrasco,Universidad de Magallanes - Centro de Investigación Gaia Antártica,Dirección de correo verificada de umag.cl,atmospheric sciences cryosphere Antarctic meteorology and climatology Synoptic meteorology and forecasting ,Citado por 4118
Ricardo De Pol-Holz,"Centro de Investigación GAIA-Antártica (CIGA), Universidad de Magallanes",Dirección de correo verificada de umag.cl,Oceanography Quaternary Science Paleoceanography Paleoclimatology Radiocarbon ,Citado por 2839
alfredo prieto,Universidad de Magallanes,Dirección de correo verificada de umag.cl,archaeology hunter-gatherers ethnography ancient DNA ,Citado por 2485
Rodrigo Villa Martinez,Universidad de Magallanes,Dirección de correo verificada de umag.cl,paleoclima palinología biogeografia botanica ,Citado por 2235
Andrés Mansilla M.,Universidad de Magallanes,Dirección de correo verificada de umag.cl,Ficologia subantártica y antártica ,Citado por 2064
Yolanda Espinosa-Parrilla,Universidad de Magallanes,Dirección de correo verificada de umag.cl,Ageing Gastric Cancer Neurodegenerative Disorders Human evolution non-protein codign RNAs ,Citado por 1826
Flavia Morello,Universidad de Magallanes - Instituto de la Patagonia,Dirección de correo verificada de umag.cl,Ciencias Sociales - Arqueología - Patrimonio ,Citado por 1389
Elke Schüttler,"Investigator, Sub-antarctic Biocultural Conservation Program, Universidad de Magallanes …",Dirección de correo verificada de umag.cl,biological conservation biological invasions population ecology ethnoecology mammals ,Citado por 1206
Máximo Frangopulos Rivera,Universidad de Magallanes,Dirección de correo verificada de umag.cl,Oceanografía Biológica Floraciones de Algas Nocivas Mareas Rojas Conservación ,Citado por 1038
Ricardo Tejos Ulloa,"Facultad de Recursos Naturales Renovables, Universidad Arturo Prat",Dirección de correo verificada de unap.cl,Plant Cell Biology Arabidopsis Intracellular trafficking Abiotic stress ,Citado por 1963
Cristina Quispe,Universidad Arturo Prat,Dirección de correo verificada de unap.cl,Productos naturales ,Citado por 1317
Julio Benites,Profesor Titular de la Universidad Arturo Prat,Dirección de correo verificada de unap.cl,Química Orgánica ,Citado por 1289
Karina Beatriz Ruiz Carrasco,Universidad Arturo Prat,Dirección de correo verificada de unap.cl,Plant Science Plant physiology Abiotic stresses ,Citado por 1178
Cristobal Corral,"Universidad Arturo Prat, Instituto de Ciencias Exactas y Naturales, Facultad de Ciencias",Dirección de correo verificada de unap.cl,Gravitation and Field theory ,Citado por 965
Gabriel Claramunt,Universidad Arturo Prat,Dirección de correo verificada de unap.cl,Evaluación de poblaciones biología reproductiva ,Citado por 798
Jose Delatorre-Herrera,Universidad Arturo Prat,Dirección de correo verificada de unap.cl,Plant physiology plant nutrition stress salinity photosynthesys ,Citado por 778
Erico R. Carmona,"Academic, Universidad Arturo Prat, Chile",Dirección de correo verificada de unap.cl,nanomaterials nanotoxicology genetic toxicology ecotoxicology ,Citado por 776
Gabriela Aguirre Martinez,Universidad Arturo Prat,Dirección de correo verificada de unap.cl,Ecotoxicología contaminantes emergentes biomarcadores biensayos ,Citado por 745
Rosalino Fuenzalida,"Profesor de Oceanografía, Universidad Arturo Prat",Dirección de correo verificada de unap.cl,Circulación Masas de Agua ENSO Cambio Climático Medio Ambiente ,Citado por 678
Jose Alejandro Gonzalez Campos,Universidad de Playa Ancha,Dirección de correo verificada de upla.cl,Estadística Aplicada a la Educación y … ,Citado por 1410
Verónica Molina T.,Universidad de Playa Ancha,Dirección de correo verificada de upla.cl,Ecologia Microbiana Biogeoquimica Oceanografia Microbiana ,Citado por 1304
Jean-Pierre Francois,"Departamento de Ciencias Geográficas, Universidad de Playa Ancha",Dirección de correo verificada de upla.cl,Geografía Ambiental Ecología del Paisaje Paleoecología Palinología ,Citado por 1290
Roberto Orellana,Universidad de Playa Ancha,Dirección de correo verificada de upla.cl,Environmental Microbiology ,Citado por 1121
Paulina Bahamonde,HUB Ambiental - Universidad de Playa Ancha,Dirección de correo verificada de upla.cl,ecotoxicology ,Citado por 810
paula pavez,Universidad de Playa Ancha,Dirección de correo verificada de upla.cl,psicología emociones agresión y cooperación en seres humanos ,Citado por 799
Miguel R. Guevara,"Cs. Department, Universidad de Playa Ancha",Dirección de correo verificada de upla.cl,web mining data science scientometrics online social networks ,Citado por 724
Claudio A. Sáez,Universidad de Playa Ancha,Dirección de correo verificada de upla.cl,ecotoxicology environmental biotechnology Climate Change ecology phycology ,Citado por 700
Franklin Johnson Parejas,Universidad de Playa Ancha,Dirección de correo verificada de upla.cl,Optimization Constraint Programming Metaheuristics ,Citado por 696
Alejandro Martín Madrid Villegas,"Academico, Departamento de Química, Universidad de Playa Ancha",Dirección de correo verificada de upla.cl,Productos Naturales y Síntesis Organica ,Citado por 677
José H Zagal  FRSC,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de …",Dirección de correo verificada de usach.cl,electrochemistry electrocatalysis molecular electrochemistry fuel cells sensors ,Citado por 9703
Yenniffer Ávalos,"Assistant Professor, Universidad de Santiago de Chile",Dirección de correo verificada de usach.cl,Autophagy primary cilium insulin signaling obesity high-fat diet ,Citado por 8822
Cristóbal M. Espinoza,Universidad de Santiago de Chile,Dirección de correo verificada de usach.cl,Pulsar astronomy Space physics ,Citado por 6068
Francisco Melo,Departamento de Física Universidad de Santiago,Dirección de correo verificada de usach.cl,soft matter ,Citado por 5933
Claudio Martinez,Universidad de Santiago de Chile (USACH),Dirección de correo verificada de usach.cl,Genetics Microbiology Biotechnology ,Citado por 5542
Mikhail Plyushchay,Universidad de Santiago de Chile,Dirección de correo verificada de usach.cl,Theoretical Physics Mathematical Physics Symmetries ,Citado por 5332
Maria Galotto,Universidad de Santiago de Chile,Dirección de correo verificada de usach.cl,Food Packaging and Technology ,Citado por 4414
Juan Silva Quiroz,"Académico Departamento de Educación y Director de CIIET, Universidad de Santiago de …",Dirección de correo verificada de usach.cl,e-learning competencias digitales Tutoría Online Diseño Instruccional Online Competencia Digital Docente ,Citado por 4355
Lucia Dammert,Universidad de Santiago de Chile,Dirección de correo verificada de usach.cl,crime latin america ,Citado por 3984
Dinesh Pratap Singh,"Department of Physics, University of Santiago, Chile (https://fisica.usach.cl/es)",Dirección de correo verificada de usach.cl,Synthesis of nanomaterials Graphene based supercapacitors and  solar … Nanotribology Nanomedicine Nano-optics ,Citado por 3936
Bernardo Arriaza,Universidad de Tarapacá,Dirección de correo verificada de uta.cl,Chinchorro mummies Bioarchaeology Paleopathology ,Citado por 6153
Alejandra Caqueo-Urízar,Universidad de Tarapacá,Dirección de correo verificada de uta.cl,Psicología Clínica ,Citado por 5609
Calogero M. Santoro,Universidad de Tarapaca,Dirección de correo verificada de uta.cl,Archaeology hunter-gatherers paleoenviroment South America Andes ,Citado por 5184
Bárbara Rojas-Ayala,"Astronomer, Instituto de Alta Investigación, Universidad de Tarapacá",Dirección de correo verificada de uta.cl,Low Mass Stars Brown dwarfs Exoplanets ,Citado por 4611
Heriberto Román Flores,Universidad de Tarapacá,Dirección de correo verificada de uta.cl,,Citado por 3615
Emilio Rodríguez Ponce,Profesor Titular - Universidad de Tarapacá (Chile),Dirección de correo verificada de uta.cl,Educación Superior Gestión del Conocimiento Liderazgo ,Citado por 3363
Francisco Ganga Contreras,Universidad de Tarapacá,Dirección de correo verificada de academicos.uta.cl,Educación superior gobernanza universitaria gobierno universitario talento humano liderazgo ,Citado por 3192
Liliana Pedraja Rejas,Profesora Titular Universidad de Tarapaca,Dirección de correo verificada de uta.cl,liderazgo educación superior estrategia. ,Citado por 3062
David Laroze,"Professor of Physics, Universidad de Tarapacá",Dirección de correo verificada de uta.cl,Chaos Hydrodynamic Instabilities Magnetism Quantum mechanics Mathematical modeling ,Citado por 2235
Sergio gonzález Miranda,"Universidad de Tarapacá, profesor titular",Dirección de correo verificada de academicos.uta.cl,historia regional relaciones internacionales historia de la minería ,Citado por 1751
Marco Esteban Rivera Abarca,"Full Professor, Department of Electrical Engineering, Universidad de Talca",Dirección de correo verificada de utalca.cl,Matrix Converters Power Electronics Power Converters AC AC Converters Predictive Control ,Citado por 8129
M. Fernandez Fernandez,Universidad de Talca,Dirección de correo verificada de utalca.cl,Automatización Control de Procesos Electrónica Mecatrónica ,Citado por 6037
Ivan Palomo,Universidad de Talca,Dirección de correo verificada de utalca.cl,,Citado por 4847
Leonardo Silva Santos,"Full Professor (Profesor Titular), Instituto de Química de Recursos Naturales, Universidad de …",Dirección de correo verificada de utalca.cl,Chemistry ,Citado por 4733
Julio Caballero,Universidad de Talca,Dirección de correo verificada de utalca.cl,molecular modeling bioinformatics nanoscience protein kinases ion channels ,Citado por 4548
Humberto Nogueira Alcalá,Universidad de Talca,Dirección de correo verificada de utalca.cl,,Citado por 4323
Renzo Angles,"Department of Computer Science, Universidad de Talca ",Dirección de correo verificada de utalca.cl,Graph databases Query Languages RDF SPARQL ,Citado por 3967
Manuel Cárdenas Castro,Universidad de Talca,Dirección de correo verificada de utalca.cl,Psicología social ,Citado por 3046
Sergei Trofimchuk,Universidad de Talca,Dirección de correo verificada de inst-mat.utalca.cl,Differential equations difference equations dynamical systems ,Citado por 2720
Narciso Cerpa,"Faculty of Engineering, Universidad de Talca",Dirección de correo verificada de utalca.cl,Software Engineering Electronic Commerce ,Citado por 2658
Juan C Saez,"Instituto de Neurociencias, Universidad de Valparaíso, Valparaíso, Chile (juancarlos.saez …",Dirección de correo verificada de uv.cl,… and pannexin channels in physiology and … ,Citado por 19064
Amelia Bayo,"Full professor, Universidad de Valparaíso; Director, Millennium Nucleus for Planet …",Dirección de correo verificada de uv.cl,star and substellar planet formation federated data and machine learning observational techniques and instrumentation ,Citado por 7191
Marie Therese Flores,"Professor Pediatric Dentistry, Faculty of Dentistry, Universidad de Valparaiso",Dirección de correo verificada de uv.cl,dental traumatology child behavior management ,Citado por 6895
Wael El-Deredy,"Universidad de Valparaiso, Chile",Dirección de correo verificada de UV.CL,Cognitive Electrophysiology Neuroimaging Bayesian inference Brain Dynamics Reward processing ,Citado por 5117
John Ewer,"CINV, Universidad de Valparaiso, CHILE",Dirección de correo verificada de uv.cl,,Citado por 4305
Agustin D Martinez,"Centro Interdisciplinario de Neurociencia de Valparaíso, Universidad de Valparaíso",Dirección de correo verificada de uv.cl,connexin pannexin ,Citado por 3565
Carlos Gonzalez Leon,Universidad de Valparaiso,Dirección de correo verificada de uv.cl,Ion Channel Biophysics ,Citado por 3313
Adrian G Palacios,Universidad de Valparaiso,Dirección de correo verificada de uv.cl,Sensory Biology Computational Neuroscience Ecology ,Citado por 3232
Adrian G Palacios,Professor Universidad de Valparaiso,Dirección de correo verificada de uv.cl,Sensory Biology Computational Neuroscience ,Citado por 3213
Yara L Jaffe,Universidad de Valparaiso,Dirección de correo verificada de uv.cl,Extragalactic Astronomy Galaxy evolution ,Citado por 2659
