,Pais,Numero de documentos,Documentos Citables,Citaciones,Autocitas,Citas por Documento,H index
219,Kiribati,97,90,827,25,8.53,15
220,Sao Tome and Principe,92,87,1423,87,15.47,22
221,Turks and Caicos Islands,84,79,1203,54,14.32,20
222,Saint Helena,54,48,452,6,8.37,12
223,Svalbard and Jan Mayen,53,47,627,3,11.83,12
224,Tuvalu,42,38,789,7,18.79,11
225,Nauru,34,30,382,10,11.24,10
226,British Indian Ocean Territory,33,29,432,0,13.09,9
227,Niue,27,23,577,3,21.37,8
228,South Georgia and the South Sandwich Islands,26,18,84,0,3.23,4
229,United States Minor Outlying Islands,25,23,883,0,35.32,11
230,Norfolk Island,24,17,239,0,9.96,10
231,Wallis and Futuna,22,19,129,5,5.86,7
232,Cocos (Keeling) Islands,14,14,236,0,16.86,6
233,Western Sahara,11,7,58,0,5.27,5
234,Tokelau,10,9,519,1,51.90,3
235,Christmas Island,7,7,62,0,8.86,4
236,French Southern Territories,6,6,166,0,27.67,5
237,Saint Pierre and Miquelon,6,5,15,0,2.50,3
238,Bouvet Island,4,3,40,0,10.00,3
239,Pitcairn,3,1,16,0,5.33,2
240,Heard Island and McDonald Islands,2,2,11,0,5.50,1
