,id
0,Name/ResearcherID
1,Research fields
2,Institutions
3,Countries/Regions
4,1
5,Claudio Hetz
6,-
7,-
8,-
9,2
10,Homero Gil de Zúñiga
11,13
12,-
13,-
14,3
15,Jose M. Merigo
16,-
17,-
18,-
19,4
20,José M. Merigó
21,-
22,-
23,-
24,5
25,Jose Rodriguez
26,-
27,-
28,-
29,6
30,Samir Kouro
31,7
32,-
33,-
